Segment_ID,DateTime,Segment_VAD_Emotion
0,2022-10-18 17:05:00+00:00,"{""valence"": 0.5796790674603175, ""arousal"": 0.501351884920635, ""dominance"": 0.551240873015873, ""emotion"": [0.022321428571428572, 0.0496031746031746, 0.05357142857142857, 0.046031746031746035, 0.013888888888888888, 0.06696428571428571, 0.025793650793650796, 0.03214285714285714]}"
1,2022-10-19 17:44:02+00:00,"{""valence"": 0.5985188492063492, ""arousal"": 0.4894251984126984, ""dominance"": 0.6026692460317459, ""emotion"": [0.04702380952380952, 0.03809523809523809, 0.047619047619047616, 0.0873015873015873, 0.040674603174603176, 0.049999999999999996, 0.08432539682539682, 0.0]}"
2,2022-10-20 21:04:39+00:00,"{""valence"": 0.5748106878306878, ""arousal"": 0.43175330687830693, ""dominance"": 0.5135652116402115, ""emotion"": [0.0, 0.008333333333333333, 0.017857142857142856, 0.05841269841269841, 0.0, 0.08145502645502645, 0.027777777777777776, 0.009523809523809523]}"
3,2022-10-21 22:45:01+00:00,"{""valence"": 0.5985955128205128, ""arousal"": 0.47438525641025636, ""dominance"": 0.5972570512820513, ""emotion"": [0.02307692307692308, 0.05512820512820513, 0.03461538461538462, 0.0858974358974359, 0.04551282051282051, 0.07692307692307693, 0.02820512820512821, 0.009615384615384616]}"
4,2022-10-24 00:00:04+00:00,"{""valence"": 0.6046815806878307, ""arousal"": 0.4403684523809524, ""dominance"": 0.5530310515873015, ""emotion"": [0.036210317460317464, 0.036210317460317464, 0.027083333333333334, 0.051388888888888894, 0.016666666666666666, 0.07602513227513226, 0.016666666666666666, 0.020833333333333332]}"
5,2022-10-25 15:34:51+00:00,"{""valence"": 0.5884738095238096, ""arousal"": 0.46506632653061225, ""dominance"": 0.5442091836734693, ""emotion"": [0.08231292517006802, 0.11326530612244898, 0.04081632653061224, 0.12993197278911564, 0.055442176870748296, 0.06904761904761905, 0.027551020408163263, 0.047619047619047616]}"
6,2022-10-26 21:27:27+00:00,"{""valence"": 0.589390934065934, ""arousal"": 0.45894954212454214, ""dominance"": 0.5706826007326008, ""emotion"": [0.08653846153846154, 0.06538461538461539, 0.06868131868131867, 0.1295787545787546, 0.038461538461538464, 0.04807692307692308, 0.04807692307692308, 0.028846153846153848]}"
7,2022-10-27 21:45:00+00:00,"{""valence"": 0.5904343537414967, ""arousal"": 0.4749581632653062, ""dominance"": 0.5889034863945578, ""emotion"": [0.0365079365079365, 0.06150793650793651, 0.0992063492063492, 0.04265873015873016, 0.007936507936507936, 0.039087301587301594, 0.03698979591836734, 0.014285714285714287]}"
8,2022-10-28 21:00:00+00:00,"{""valence"": 0.5328836080586081, ""arousal"": 0.44401373626373625, ""dominance"": 0.5159131868131868, ""emotion"": [0.0, 0.058424908424908426, 0.07765567765567766, 0.11749084249084249, 0.009615384615384616, 0.07948717948717948, 0.06227106227106227, 0.010989010989010988]}"
9,2022-10-30 17:35:00+00:00,"{""valence"": 0.5564392361111112, ""arousal"": 0.4826627480158731, ""dominance"": 0.5316590773809523, ""emotion"": [0.0, 0.034523809523809526, 0.0992063492063492, 0.13531746031746034, 0.0, 0.048958333333333326, 0.08958333333333333, 0.010416666666666666]}"
10,2022-11-01 18:56:43+00:00,"{""valence"": 0.6080089285714285, ""arousal"": 0.5089151785714285, ""dominance"": 0.5960535714285713, ""emotion"": [0.0, 0.07142857142857142, 0.0, 0.06696428571428571, 0.0, 0.0, 0.0, 0.03571428571428571]}"
