Segment_ID,DateTime,Segment_VAD_Emotion
0,2010-02-22 18:12:50+00:00,"{""valence"": 0.5989437500000001, ""arousal"": 0.4195741666666667, ""dominance"": 0.46115625, ""emotion"": [0.016666666666666666, 0.035416666666666666, 0.06208333333333334, 0.09166666666666666, 0.01875, 0.01875, 0.01875, 0.0475]}"
1,2010-03-03 04:52:44+00:00,"{""valence"": 0.6418724637681159, ""arousal"": 0.44675869565217396, ""dominance"": 0.5270934782608696, ""emotion"": [0.03188405797101449, 0.042753623188405795, 0.04782608695652174, 0.03188405797101449, 0.03913043478260869, 0.02318840579710145, 0.10724637681159421, 0.02536231884057971]}"
2,2010-03-21 09:03:45+00:00,"{""valence"": 0.6051056022408964, ""arousal"": 0.42750056022408955, ""dominance"": 0.4685659663865547, ""emotion"": [0.023109243697478993, 0.014705882352941176, 0.1281512605042017, 0.0495798319327731, 0.031512605042016806, 0.0, 0.11680672268907562, 0.029411764705882353]}"
3,2010-04-02 13:34:09+00:00,"{""valence"": 0.611525313283208, ""arousal"": 0.4298424812030075, ""dominance"": 0.4664917293233083, ""emotion"": [0.07631578947368421, 0.05701754385964912, 0.06503759398496241, 0.09348370927318295, 0.0855889724310777, 0.05263157894736842, 0.05664160401002506, 0.042606516290726815]}"
4,2010-04-10 00:48:48+00:00,"{""valence"": 0.6185917142857144, ""arousal"": 0.4460930476190477, ""dominance"": 0.5077301746031747, ""emotion"": [0.01, 0.021666666666666664, 0.05277777777777778, 0.04355555555555556, 0.0223015873015873, 0.026666666666666665, 0.04055555555555555, 0.02396825396825397]}"
5,2010-04-23 17:56:05+00:00,"{""valence"": 0.616779365079365, ""arousal"": 0.4634502976190476, ""dominance"": 0.5123787698412697, ""emotion"": [0.08928571428571429, 0.03571428571428571, 0.04503968253968254, 0.0369047619047619, 0.046825396825396826, 0.05952380952380953, 0.024999999999999998, 0.04861111111111111]}"
6,2010-05-04 03:03:54+00:00,"{""valence"": 0.6237994152046783, ""arousal"": 0.48416842105263147, ""dominance"": 0.5266441520467836, ""emotion"": [0.0456140350877193, 0.05087719298245614, 0.08830409356725145, 0.11549707602339182, 0.023391812865497075, 0.02982456140350877, 0.07602339181286548, 0.0324561403508772]}"
7,2010-05-11 00:58:29+00:00,"{""valence"": 0.6305820494864612, ""arousal"": 0.4715514005602241, ""dominance"": 0.5184020308123249, ""emotion"": [0.06886087768440709, 0.029411764705882353, 0.0657563025210084, 0.11715686274509803, 0.038795518207282914, 0.03529411764705882, 0.048529411764705876, 0.04019607843137255]}"
8,2010-05-18 00:54:38+00:00,"{""valence"": 0.6518114583333333, ""arousal"": 0.4704447916666668, ""dominance"": 0.5221190972222224, ""emotion"": [0.03298611111111111, 0.06944444444444443, 0.18298611111111115, 0.09826388888888889, 0.12638888888888888, 0.0, 0.11909722222222223, 0.020833333333333332]}"
9,2010-06-02 03:06:21+00:00,"{""valence"": 0.558571111111111, ""arousal"": 0.47753666666666666, ""dominance"": 0.481315, ""emotion"": [0.020000000000000004, 0.045000000000000005, 0.125, 0.06055555555555556, 0.027777777777777776, 0.04111111111111111, 0.08055555555555556, 0.016666666666666666]}"
10,2010-06-10 14:27:25+00:00,"{""valence"": 0.6404630692918192, ""arousal"": 0.42991461996336994, ""dominance"": 0.5146904166666666, ""emotion"": [0.0347985347985348, 0.03390567765567766, 0.05106837606837607, 0.04987789987789988, 0.05196123321123321, 0.030059523809523807, 0.0531517094017094, 0.027655677655677658]}"
11,2010-06-23 17:55:45+00:00,"{""valence"": 0.6464824404761906, ""arousal"": 0.4552627976190475, ""dominance"": 0.5110258928571427, ""emotion"": [0.049107142857142856, 0.025297619047619044, 0.06041666666666667, 0.029464285714285714, 0.008928571428571428, 0.013392857142857142, 0.05803571428571429, 0.010416666666666666]}"
12,2010-07-10 21:22:37+00:00,"{""valence"": 0.6465854761904762, ""arousal"": 0.4281572619047619, ""dominance"": 0.4755704761904762, ""emotion"": [0.007142857142857143, 0.012142857142857143, 0.07047619047619048, 0.08499999999999999, 0.02583333333333333, 0.026785714285714284, 0.12250000000000001, 0.0]}"
13,2010-07-19 17:35:11+00:00,"{""valence"": 0.6327171513269338, ""arousal"": 0.42370826745718054, ""dominance"": 0.5113525456427631, ""emotion"": [0.006211180124223602, 0.020703933747412008, 0.046033314511575385, 0.05293619424054207, 0.03585544889892716, 0.020703933747412008, 0.03585544889892716, 0.0]}"
14,2010-08-02 22:45:47+00:00,"{""valence"": 0.6437423558897242, ""arousal"": 0.42507819548872183, ""dominance"": 0.5244501253132834, ""emotion"": [0.0, 0.010526315789473684, 0.1882205513784461, 0.05877192982456139, 0.06315789473684211, 0.02631578947368421, 0.0706766917293233, 0.0]}"
15,2010-08-16 00:06:11+00:00,"{""valence"": 0.631694761904762, ""arousal"": 0.4522962698412699, ""dominance"": 0.49638322751322755, ""emotion"": [0.019047619047619046, 0.02738095238095238, 0.18185185185185185, 0.06333333333333332, 0.04785714285714285, 0.05534391534391534, 0.05222222222222222, 0.009523809523809523]}"
16,2010-08-23 19:22:24+00:00,"{""valence"": 0.6265391941391941, ""arousal"": 0.4875266483516484, ""dominance"": 0.4651712454212454, ""emotion"": [0.015384615384615385, 0.05064102564102564, 0.19679487179487182, 0.16291208791208792, 0.057692307692307696, 0.044871794871794865, 0.08333333333333333, 0.026373626373626374]}"
17,2010-08-30 12:42:17+00:00,"{""valence"": 0.6291677128427129, ""arousal"": 0.43927243867243865, ""dominance"": 0.4991535353535353, ""emotion"": [0.053030303030303025, 0.0303030303030303, 0.13733766233766234, 0.07770562770562771, 0.04715007215007214, 0.053030303030303025, 0.12561327561327562, 0.04166666666666666]}"
18,2010-09-12 18:21:47+00:00,"{""valence"": 0.6205717592592593, ""arousal"": 0.4392636243386243, ""dominance"": 0.5045308201058201, ""emotion"": [0.040740740740740744, 0.018518518518518517, 0.1347883597883598, 0.12738095238095234, 0.11349206349206348, 0.037037037037037035, 0.107010582010582, 0.027777777777777776]}"
19,2010-09-23 01:08:27+00:00,"{""valence"": 0.6624437996031746, ""arousal"": 0.4713572420634921, ""dominance"": 0.4809167658730159, ""emotion"": [0.041666666666666664, 0.0443452380952381, 0.11031746031746031, 0.08462301587301588, 0.05128968253968254, 0.04077380952380952, 0.1085813492063492, 0.02976190476190476]}"
20,2010-10-03 14:19:39+00:00,"{""valence"": 0.6287859649122807, ""arousal"": 0.506926754385965, ""dominance"": 0.524367543859649, ""emotion"": [0.029385964912280703, 0.04122807017543859, 0.11228070175438597, 0.07719298245614034, 0.1013157894736842, 0.02236842105263158, 0.08596491228070176, 0.005263157894736842]}"
21,2010-10-11 04:20:44+00:00,"{""valence"": 0.5997721164021164, ""arousal"": 0.4831543915343915, ""dominance"": 0.5277902910052911, ""emotion"": [0.04444444444444444, 0.02222222222222222, 0.15748677248677248, 0.1645238095238095, 0.08119047619047619, 0.02222222222222222, 0.09785714285714285, 0.03888888888888888]}"
22,2010-10-20 18:55:49+00:00,"{""valence"": 0.6354970238095236, ""arousal"": 0.4602113095238095, ""dominance"": 0.4805365646258503, ""emotion"": [0.04124149659863945, 0.04889455782312925, 0.0858843537414966, 0.10799319727891156, 0.1130952380952381, 0.11267006802721088, 0.10501700680272108, 0.06675170068027211]}"
23,2010-10-26 03:14:13+00:00,"{""valence"": 0.6177190170940171, ""arousal"": 0.4088574786324787, ""dominance"": 0.4743401709401709, ""emotion"": [0.04615384615384615, 0.075, 0.06025641025641026, 0.02564102564102564, 0.028846153846153848, 0.04615384615384615, 0.044871794871794865, 0.057692307692307696]}"
24,2010-11-06 05:38:05+00:00,"{""valence"": 0.6350368886015945, ""arousal"": 0.44577229045464345, ""dominance"": 0.526898082309847, ""emotion"": [0.031512605042016806, 0.027634130575307045, 0.08085541909071321, 0.025210084033613443, 0.01680672268907563, 0.027634130575307045, 0.0630252100840336, 0.023109243697478993]}"
25,2010-11-11 18:39:03+00:00,"{""valence"": 0.6427062049062049, ""arousal"": 0.4526286435786436, ""dominance"": 0.5059696248196247, ""emotion"": [0.0202020202020202, 0.0101010101010101, 0.060786435786435784, 0.03192640692640692, 0.031060606060606056, 0.0404040404040404, 0.018939393939393936, 0.0202020202020202]}"
26,2010-11-22 19:03:32+00:00,"{""valence"": 0.6181084886128364, ""arousal"": 0.4618005175983438, ""dominance"": 0.4923595238095238, ""emotion"": [0.02826086956521739, 0.03260869565217391, 0.07246376811594203, 0.08881987577639751, 0.08695652173913043, 0.04565217391304348, 0.07681159420289854, 0.031159420289855074]}"
27,2010-12-05 18:05:53+00:00,"{""valence"": 0.6173444444444444, ""arousal"": 0.44497165286404416, ""dominance"": 0.4883019323671497, ""emotion"": [0.024396135265700482, 0.017391304347826087, 0.11587301587301586, 0.08060731538992409, 0.07191166321601104, 0.03828502415458937, 0.08060731538992409, 0.029830917874396134]}"
28,2010-12-18 18:12:04+00:00,"{""valence"": 0.6397220833333334, ""arousal"": 0.4160323611111111, ""dominance"": 0.5064398611111111, ""emotion"": [0.06416666666666666, 0.08222222222222222, 0.07388888888888889, 0.08722222222222223, 0.028749999999999998, 0.034166666666666665, 0.0913888888888889, 0.034166666666666665]}"
29,2010-12-28 03:47:01+00:00,"{""valence"": 0.6638667989417989, ""arousal"": 0.4763763227513228, ""dominance"": 0.5439503968253968, ""emotion"": [0.026455026455026454, 0.040343915343915335, 0.05423280423280422, 0.125, 0.027777777777777776, 0.058862433862433866, 0.06944444444444445, 0.007936507936507936]}"
30,2011-01-05 02:59:56+00:00,"{""valence"": 0.5612506628787879, ""arousal"": 0.460869365530303, ""dominance"": 0.44316756628787873, ""emotion"": [0.040009469696969696, 0.06709280303030302, 0.0921875, 0.0703125, 0.021875, 0.08475378787878787, 0.04375, 0.011363636363636364]}"
31,2011-01-08 23:45:32+00:00,"{""valence"": 0.6179029017857143, ""arousal"": 0.44331011904761913, ""dominance"": 0.4932941964285714, ""emotion"": [0.075, 0.059375, 0.1574404761904762, 0.16726190476190478, 0.17559523809523808, 0.07142857142857142, 0.19538690476190476, 0.08333333333333333]}"
32,2011-01-13 03:06:08+00:00,"{""valence"": 0.6343633166076348, ""arousal"": 0.45066066017316025, ""dominance"": 0.5167648809523808, ""emotion"": [0.022727272727272728, 0.022727272727272728, 0.052636757182211724, 0.10532270759543487, 0.03064738292011019, 0.026859504132231406, 0.046143250688705235, 0.022727272727272728]}"
33,2011-01-17 20:19:51+00:00,"{""valence"": 0.6355790873015873, ""arousal"": 0.4360132936507937, ""dominance"": 0.5032119047619048, ""emotion"": [0.05305555555555556, 0.06, 0.1498611111111111, 0.12736111111111112, 0.10375000000000001, 0.041249999999999995, 0.1373611111111111, 0.015555555555555555]}"
34,2011-01-29 08:05:05+00:00,"{""valence"": 0.5959885416666667, ""arousal"": 0.44993487103174606, ""dominance"": 0.5047623759920635, ""emotion"": [0.08452380952380953, 0.07410714285714286, 0.08296130952380952, 0.12611607142857142, 0.057291666666666664, 0.0880952380952381, 0.1052827380952381, 0.09122023809523809]}"
35,2011-02-03 13:36:45+00:00,"{""valence"": 0.6371406462585033, ""arousal"": 0.4720585034013606, ""dominance"": 0.4883445578231293, ""emotion"": [0.011904761904761904, 0.05612244897959184, 0.10782312925170068, 0.08469387755102041, 0.03401360544217687, 0.03103741496598639, 0.1358843537414966, 0.04591836734693877]}"
36,2011-02-08 14:33:15+00:00,"{""valence"": 0.6204713203463204, ""arousal"": 0.44447781385281365, ""dominance"": 0.4801156926406927, ""emotion"": [0.07575757575757576, 0.07575757575757576, 0.07727272727272726, 0.14253246753246754, 0.04437229437229437, 0.057575757575757586, 0.08376623376623377, 0.06439393939393939]}"
37,2011-02-17 15:38:20+00:00,"{""valence"": 0.6568780303030304, ""arousal"": 0.48939577922077926, ""dominance"": 0.5476727813852814, ""emotion"": [0.0349025974025974, 0.044805194805194806, 0.050487012987012976, 0.06066017316017316, 0.006493506493506493, 0.006493506493506493, 0.08262987012987012, 0.029220779220779217]}"
38,2011-02-24 14:32:34+00:00,"{""valence"": 0.5676580687830689, ""arousal"": 0.4557205687830689, ""dominance"": 0.48628439153439157, ""emotion"": [0.08597883597883597, 0.09887566137566137, 0.08895502645502645, 0.08597883597883597, 0.017195767195767195, 0.10317460317460317, 0.08068783068783068, 0.0873015873015873]}"
39,2011-02-28 04:39:52+00:00,"{""valence"": 0.6236133786848072, ""arousal"": 0.4290606575963719, ""dominance"": 0.492856179138322, ""emotion"": [0.0, 0.031746031746031744, 0.0761904761904762, 0.06984126984126984, 0.03492063492063492, 0.007936507936507936, 0.05238095238095238, 0.011904761904761904]}"
40,2011-03-08 04:32:21+00:00,"{""valence"": 0.6496044973544973, ""arousal"": 0.44112559523809525, ""dominance"": 0.4905493716931218, ""emotion"": [0.013888888888888888, 0.050099206349206345, 0.042460317460317455, 0.05734126984126984, 0.03650793650793651, 0.01636904761904762, 0.07966269841269841, 0.010416666666666666]}"
41,2011-03-17 00:20:18+00:00,"{""valence"": 0.5921625440917109, ""arousal"": 0.47298970458553796, ""dominance"": 0.4823149029982364, ""emotion"": [0.06944444444444445, 0.021825396825396824, 0.12667548500881834, 0.0947310405643739, 0.06053791887125221, 0.0884920634920635, 0.07667548500881834, 0.08055555555555555]}"
42,2011-03-27 13:09:41+00:00,"{""valence"": 0.647429761904762, ""arousal"": 0.4834796485260771, ""dominance"": 0.5250513038548753, ""emotion"": [0.09007936507936508, 0.08373015873015874, 0.07857142857142856, 0.09999999999999999, 0.1630952380952381, 0.06785714285714285, 0.19523809523809524, 0.017857142857142856]}"
43,2011-03-31 03:51:53+00:00,"{""valence"": 0.63621423992674, ""arousal"": 0.4588507326007326, ""dominance"": 0.5074560897435897, ""emotion"": [0.03434065934065934, 0.02087912087912088, 0.06895604395604395, 0.046520146520146514, 0.00641025641025641, 0.015384615384615385, 0.03754578754578754, 0.007692307692307693]}"
44,2011-04-10 18:06:29+00:00,"{""valence"": 0.6162061904761904, ""arousal"": 0.40196797619047614, ""dominance"": 0.49388619047619053, ""emotion"": [0.0, 0.014285714285714285, 0.19607142857142856, 0.052976190476190475, 0.05416666666666666, 0.008333333333333333, 0.09011904761904763, 0.012142857142857143]}"
45,2011-04-28 20:06:00+00:00,"{""valence"": 0.6558194444444444, ""arousal"": 0.4489030423280423, ""dominance"": 0.5152828042328043, ""emotion"": [0.03571428571428571, 0.02976190476190476, 0.06481481481481481, 0.08690476190476192, 0.013888888888888886, 0.07076719576719577, 0.052910052910052914, 0.023809523809523808]}"
46,2011-05-09 01:27:46+00:00,"{""valence"": 0.646873593073593, ""arousal"": 0.43910768398268407, ""dominance"": 0.49477478354978355, ""emotion"": [0.03073593073593073, 0.02056277056277056, 0.07781385281385281, 0.06915584415584415, 0.006493506493506493, 0.03722943722943722, 0.061471861471861476, 0.01948051948051948]}"
47,2011-05-21 14:17:21+00:00,"{""valence"": 0.6408554720133669, ""arousal"": 0.43477468671679204, ""dominance"": 0.5430108187134502, ""emotion"": [0.0216374269005848, 0.04912280701754386, 0.08391812865497075, 0.11365914786967418, 0.02953216374269006, 0.03705096073517126, 0.08003341687552215, 0.03479532163742691]}"
48,2011-05-31 03:45:09+00:00,"{""valence"": 0.5945063034188033, ""arousal"": 0.4641449633699634, ""dominance"": 0.5320318223443224, ""emotion"": [0.042735042735042736, 0.06829975579975579, 0.03205128205128205, 0.09081196581196581, 0.004807692307692308, 0.047008547008547015, 0.04401709401709401, 0.014575702075702076]}"
49,2011-06-15 12:46:41+00:00,"{""valence"": 0.6818907936507936, ""arousal"": 0.45911968253968266, ""dominance"": 0.5572637037037037, ""emotion"": [0.035555555555555556, 0.035555555555555556, 0.1784126984126984, 0.1307936507936508, 0.07841269841269842, 0.05555555555555556, 0.12201058201058199, 0.02666666666666667]}"
50,2011-06-24 21:28:04+00:00,"{""valence"": 0.6895199031127605, ""arousal"": 0.46267499484642344, ""dominance"": 0.5264432385075242, ""emotion"": [0.011131725417439703, 0.0163265306122449, 0.17779839208410636, 0.11156462585034012, 0.046485260770975055, 0.06827458256029685, 0.13017934446505874, 0.03061224489795918]}"
51,2011-07-02 17:35:37+00:00,"{""valence"": 0.6362858906525573, ""arousal"": 0.41952751322751314, ""dominance"": 0.4646285273368608, ""emotion"": [0.03571428571428571, 0.027777777777777776, 0.08818342151675485, 0.06525573192239859, 0.06966490299823631, 0.04188712522045855, 0.16887125220458554, 0.0154320987654321]}"
52,2011-07-06 20:00:47+00:00,"{""valence"": 0.6363655555555555, ""arousal"": 0.4204422222222222, ""dominance"": 0.49685361111111115, ""emotion"": [0.03333333333333333, 0.05416666666666666, 0.055555555555555546, 0.05833333333333333, 0.07222222222222222, 0.020833333333333332, 0.09722222222222222, 0.0125]}"
53,2011-07-15 15:08:07+00:00,"{""valence"": 0.6909777777777778, ""arousal"": 0.5027944444444444, ""dominance"": 0.5309191358024692, ""emotion"": [0.02962962962962963, 0.018518518518518517, 0.13024691358024693, 0.0669753086419753, 0.03117283950617284, 0.025, 0.10987654320987654, 0.05432098765432098]}"
54,2011-07-28 12:21:21+00:00,"{""valence"": 0.6509374074074075, ""arousal"": 0.46179037037037046, ""dominance"": 0.5390766666666666, ""emotion"": [0.01851851851851852, 0.01851851851851852, 0.157037037037037, 0.14703703703703702, 0.05962962962962962, 0.046296296296296294, 0.08925925925925927, 0.01851851851851852]}"
55,2011-08-05 03:01:09+00:00,"{""valence"": 0.614727450980392, ""arousal"": 0.4635031045751634, ""dominance"": 0.5085281045751635, ""emotion"": [0.04558823529411765, 0.04264705882352942, 0.09297385620915033, 0.10359477124183006, 0.05947712418300653, 0.09656862745098038, 0.11503267973856209, 0.030882352941176472]}"
56,2011-08-10 15:43:53+00:00,"{""valence"": 0.5940289215686275, ""arousal"": 0.49335245098039215, ""dominance"": 0.4981485294117647, ""emotion"": [0.050980392156862744, 0.052941176470588235, 0.048039215686274506, 0.10196078431372549, 0.03823529411764706, 0.026960784313725488, 0.0946078431372549, 0.058823529411764705]}"
57,2011-08-18 02:58:24+00:00,"{""valence"": 0.626582671957672, ""arousal"": 0.431164880952381, ""dominance"": 0.5065933201058201, ""emotion"": [0.04351851851851851, 0.04398148148148148, 0.19642857142857142, 0.10105820105820106, 0.08895502645502645, 0.013888888888888888, 0.12003968253968253, 0.028306878306878305]}"
58,2011-08-25 13:36:06+00:00,"{""valence"": 0.6657400264550265, ""arousal"": 0.4790326455026455, ""dominance"": 0.5098061375661376, ""emotion"": [0.07574074074074073, 0.04452380952380953, 0.1941269841269841, 0.04666666666666666, 0.049999999999999996, 0.04518518518518519, 0.14174603174603176, 0.04611111111111111]}"
59,2011-09-04 01:13:35+00:00,"{""valence"": 0.6005009803921569, ""arousal"": 0.46209607843137257, ""dominance"": 0.5273901960784313, ""emotion"": [0.034313725490196074, 0.034313725490196074, 0.17058823529411765, 0.10784313725490195, 0.0196078431372549, 0.06372549019607843, 0.09019607843137255, 0.046078431372549015]}"
60,2011-09-11 02:38:17+00:00,"{""valence"": 0.578858126984127, ""arousal"": 0.43255363492063487, ""dominance"": 0.4675073492063492, ""emotion"": [0.048873015873015874, 0.056968253968253973, 0.011428571428571429, 0.038380952380952384, 0.011428571428571429, 0.02926984126984127, 0.04576190476190476, 0.029111111111111115]}"
61,2011-09-20 16:04:55+00:00,"{""valence"": 0.6052318922305765, ""arousal"": 0.5133223684210527, ""dominance"": 0.5436637218045113, ""emotion"": [0.03508771929824561, 0.04678362573099415, 0.033625730994152045, 0.06263575605680868, 0.023391812865497075, 0.07514619883040936, 0.027046783625730993, 0.04093567251461988]}"
62,2011-09-26 13:39:34+00:00,"{""valence"": 0.6106973684210527, ""arousal"": 0.4544811612364244, ""dominance"": 0.5086430242272348, ""emotion"": [0.061403508771929814, 0.039473684210526314, 0.11131996658312446, 0.07038429406850459, 0.04824561403508772, 0.06578947368421052, 0.061612364243943195, 0.039473684210526314]}"
63,2011-10-01 17:45:17+00:00,"{""valence"": 0.6188579653679653, ""arousal"": 0.5261050649350649, ""dominance"": 0.5600033333333333, ""emotion"": [0.07287878787878788, 0.06287878787878788, 0.13547619047619047, 0.08168831168831168, 0.02, 0.02121212121212121, 0.026666666666666665, 0.017424242424242425]}"
64,2011-10-05 16:20:22+00:00,"{""valence"": 0.6306916666666668, ""arousal"": 0.42175555555555555, ""dominance"": 0.5141863888888889, ""emotion"": [0.034999999999999996, 0.06416666666666666, 0.1947222222222222, 0.14055555555555557, 0.08055555555555556, 0.04055555555555555, 0.15888888888888889, 0.008333333333333333]}"
65,2011-10-14 22:27:41+00:00,"{""valence"": 0.6583348484848485, ""arousal"": 0.4223545454545455, ""dominance"": 0.5036, ""emotion"": [0.056818181818181816, 0.0659090909090909, 0.09999999999999999, 0.10606060606060605, 0.053030303030303025, 0.056818181818181816, 0.06818181818181818, 0.07954545454545454]}"
66,2011-10-21 14:16:54+00:00,"{""valence"": 0.6090371148459384, ""arousal"": 0.4488708683473389, ""dominance"": 0.5580728291316527, ""emotion"": [0.008403361344537815, 0.008403361344537815, 0.047619047619047616, 0.20756302521008402, 0.008403361344537815, 0.024089635854341734, 0.15406162464985995, 0.01568627450980392]}"
67,2011-10-27 17:22:30+00:00,"{""valence"": 0.6193675595238096, ""arousal"": 0.49876954365079357, ""dominance"": 0.5422657738095239, ""emotion"": [0.0619047619047619, 0.06428571428571428, 0.049999999999999996, 0.03511904761904761, 0.07916666666666666, 0.09345238095238095, 0.06388888888888888, 0.049999999999999996]}"
68,2011-10-29 16:26:47+00:00,"{""valence"": 0.5849900375939849, ""arousal"": 0.5559984335839598, ""dominance"": 0.5129577694235589, ""emotion"": [0.047932330827067667, 0.11372180451127818, 0.06672932330827068, 0.0531328320802005, 0.054824561403508776, 0.040413533834586464, 0.045614035087719294, 0.05670426065162907]}"
69,2011-10-31 23:50:36+00:00,"{""valence"": 0.6703340659340659, ""arousal"": 0.45544725274725273, ""dominance"": 0.5187256410256411, ""emotion"": [0.057692307692307696, 0.019230769230769232, 0.15805860805860805, 0.1706959706959707, 0.026373626373626374, 0.057692307692307696, 0.1565934065934066, 0.038461538461538464]}"
70,2011-11-04 17:39:25+00:00,"{""valence"": 0.561749074074074, ""arousal"": 0.4948625, ""dominance"": 0.5171592592592592, ""emotion"": [0.08055555555555555, 0.11296296296296296, 0.10787037037037035, 0.06018518518518518, 0.11296296296296296, 0.10833333333333334, 0.0875, 0.06666666666666667]}"
71,2011-11-09 19:04:36+00:00,"{""valence"": 0.641475, ""arousal"": 0.5030427083333333, ""dominance"": 0.55506875, ""emotion"": [0.03125, 0.09895833333333333, 0.13020833333333331, 0.13541666666666666, 0.020833333333333332, 0.059375, 0.13541666666666666, 0.03125]}"
72,2011-11-13 00:09:12+00:00,"{""valence"": 0.6160137254901962, ""arousal"": 0.5219879551820729, ""dominance"": 0.49859803921568624, ""emotion"": [0.07563025210084033, 0.08543417366946779, 0.1600840336134454, 0.10266106442577029, 0.0726890756302521, 0.04831932773109243, 0.20210084033613443, 0.01680672268907563]}"
73,2011-11-17 13:13:40+00:00,"{""valence"": 0.6633539682539682, ""arousal"": 0.45068095238095235, ""dominance"": 0.5346222222222222, ""emotion"": [0.029365079365079365, 0.03174603174603175, 0.1253968253968254, 0.1, 0.12936507936507938, 0.0492063492063492, 0.17301587301587304, 0.01746031746031746]}"
74,2011-11-24 18:27:24+00:00,"{""valence"": 0.625816011042098, ""arousal"": 0.47513278122843333, ""dominance"": 0.5281161835748791, ""emotion"": [0.08229813664596274, 0.07263630089717046, 0.05741890959282263, 0.07287784679089027, 0.01725327812284334, 0.040683229813664595, 0.06725327812284333, 0.06055900621118012]}"
75,2011-11-30 02:28:36+00:00,"{""valence"": 0.5644624060150376, ""arousal"": 0.4793496240601504, ""dominance"": 0.49299185463659145, ""emotion"": [0.06453634085213034, 0.15100250626566417, 0.15100250626566417, 0.07644110275689223, 0.11152882205513785, 0.12468671679197996, 0.06766917293233082, 0.039473684210526314]}"
76,2011-12-04 15:05:13+00:00,"{""valence"": 0.6301332101806238, ""arousal"": 0.45854741379310343, ""dominance"": 0.5262666529830323, ""emotion"": [0.017241379310344827, 0.0, 0.11460043787629993, 0.05875752599890531, 0.02887246852764094, 0.015517241379310345, 0.05569239189928844, 0.008620689655172414]}"
77,2011-12-13 04:34:14+00:00,"{""valence"": 0.5923291765053128, ""arousal"": 0.46110272038567496, ""dominance"": 0.5010301652892563, ""emotion"": [0.06363636363636363, 0.06931818181818182, 0.08262987012987012, 0.059145021645021646, 0.03831168831168831, 0.07913223140495868, 0.08003246753246752, 0.07913223140495868]}"
78,2011-12-16 06:07:40+00:00,"{""valence"": 0.5935582539682541, ""arousal"": 0.4656654603174604, ""dominance"": 0.5281899047619049, ""emotion"": [0.04942857142857142, 0.04942857142857142, 0.08038095238095239, 0.08038095238095239, 0.05076190476190476, 0.05704761904761904, 0.09838095238095239, 0.03704761904761905]}"
79,2011-12-26 19:52:51+00:00,"{""valence"": 0.6095187198067632, ""arousal"": 0.4976509661835748, ""dominance"": 0.5275978260869565, ""emotion"": [0.014492753623188404, 0.01932367149758454, 0.06280193236714976, 0.09963768115942029, 0.026570048309178747, 0.03623188405797101, 0.07548309178743962, 0.03623188405797101]}"
80,2012-01-01 01:59:43+00:00,"{""valence"": 0.5972362433862435, ""arousal"": 0.4422887377173092, ""dominance"": 0.47261402116402124, ""emotion"": [0.04251700680272109, 0.0707482993197279, 0.08745275888133029, 0.05786092214663644, 0.054950869236583516, 0.04523809523809524, 0.06636432350718065, 0.03333333333333333]}"
81,2012-01-06 00:34:47+00:00,"{""valence"": 0.6158049242424242, ""arousal"": 0.4781655303030304, ""dominance"": 0.5213678030303032, ""emotion"": [0.031818181818181815, 0.020454545454545454, 0.10606060606060606, 0.062121212121212126, 0.14924242424242423, 0.05833333333333333, 0.04696969696969697, 0.020454545454545454]}"
