Segment_ID,DateTime,Segment_VAD_Emotion
0,2022-02-05 05:59:48+00:00,"{""valence"": 0.5708431372549019, ""arousal"": 0.5125731792717088, ""dominance"": 0.5634023109243697, ""emotion"": [0.034313725490196074, 0.034313725490196074, 0.06372549019607843, 0.13830532212885155, 0.0392156862745098, 0.041666666666666664, 0.05637254901960784, 0.058823529411764705]}"
1,2022-02-07 23:16:03+00:00,"{""valence"": 0.5889051120448178, ""arousal"": 0.4457293417366947, ""dominance"": 0.5580252100840336, ""emotion"": [0.017156862745098037, 0.008403361344537815, 0.14285714285714285, 0.11274509803921567, 0.029411764705882353, 0.0819327731092437, 0.08823529411764706, 0.007352941176470588]}"
2,2022-02-11 00:19:06+00:00,"{""valence"": 0.6123774831649832, ""arousal"": 0.49577723063973056, ""dominance"": 0.5698819023569023, ""emotion"": [0.023569023569023566, 0.04351851851851852, 0.09486531986531986, 0.1111111111111111, 0.05134680134680134, 0.04398148148148148, 0.0787037037037037, 0.02546296296296296]}"
3,2022-02-13 11:58:48+00:00,"{""valence"": 0.6431110476190476, ""arousal"": 0.48476199999999997, ""dominance"": 0.5935394285714285, ""emotion"": [0.02, 0.03333333333333333, 0.09022222222222222, 0.07482539682539682, 0.017777777777777778, 0.03333333333333333, 0.049111111111111105, 0.018000000000000002]}"
4,2022-02-18 08:07:26+00:00,"{""valence"": 0.6217260416666667, ""arousal"": 0.49105104166666674, ""dominance"": 0.5664322916666666, ""emotion"": [0.0, 0.0, 0.18437499999999998, 0.125, 0.046875, 0.0, 0.15104166666666666, 0.0625]}"
5,2022-02-21 06:46:33+00:00,"{""valence"": 0.6131027777777777, ""arousal"": 0.4458333333333333, ""dominance"": 0.5597866666666667, ""emotion"": [0.020833333333333332, 0.06833333333333333, 0.13499999999999998, 0.13916666666666666, 0.04583333333333333, 0.030833333333333334, 0.07666666666666666, 0.008333333333333333]}"
6,2022-02-22 11:35:50+00:00,"{""valence"": 0.6213991228070175, ""arousal"": 0.4617807017543859, ""dominance"": 0.549059649122807, ""emotion"": [0.02631578947368421, 0.03947368421052631, 0.02368421052631579, 0.049999999999999996, 0.013157894736842105, 0.021929824561403508, 0.07894736842105263, 0.017543859649122806]}"
7,2022-02-23 18:39:40+00:00,"{""valence"": 0.6318842592592592, ""arousal"": 0.4521554232804232, ""dominance"": 0.5563891534391535, ""emotion"": [0.03571428571428571, 0.07738095238095238, 0.1212962962962963, 0.09351851851851851, 0.03333333333333333, 0.0496031746031746, 0.07037037037037036, 0.007936507936507936]}"
8,2022-03-01 03:07:21+00:00,"{""valence"": 0.5589749206349206, ""arousal"": 0.4249261904761905, ""dominance"": 0.5215268253968254, ""emotion"": [0.1595238095238095, 0.05634920634920635, 0.05142857142857142, 0.09428571428571429, 0.05285714285714286, 0.02222222222222222, 0.05857142857142857, 0.020634920634920634]}"
9,2022-03-02 08:29:13+00:00,"{""valence"": 0.5660382352941176, ""arousal"": 0.4448676470588234, ""dominance"": 0.5499759803921569, ""emotion"": [0.03137254901960784, 0.07941176470588235, 0.050980392156862744, 0.09950980392156863, 0.00980392156862745, 0.043137254901960784, 0.017156862745098037, 0.021568627450980395]}"
10,2022-03-03 19:56:26+00:00,"{""valence"": 0.6315199404761905, ""arousal"": 0.46422757936507936, ""dominance"": 0.563845238095238, ""emotion"": [0.07678571428571428, 0.07926587301587301, 0.0490079365079365, 0.0, 0.012896825396825398, 0.05902777777777777, 0.020833333333333332, 0.003472222222222222]}"
11,2022-03-06 04:44:14+00:00,"{""valence"": 0.6135425264550265, ""arousal"": 0.5326422619047619, ""dominance"": 0.5908617063492063, ""emotion"": [0.056216931216931214, 0.06084656084656084, 0.10383597883597884, 0.10383597883597884, 0.013888888888888888, 0.03439153439153439, 0.0496031746031746, 0.026455026455026454]}"
12,2022-03-08 18:26:28+00:00,"{""valence"": 0.6276805714285715, ""arousal"": 0.4289646190476191, ""dominance"": 0.5639414285714285, ""emotion"": [0.0, 0.013000000000000001, 0.03371428571428571, 0.06142857142857142, 0.023714285714285716, 0.008, 0.023714285714285716, 0.0]}"
13,2022-03-14 04:11:38+00:00,"{""valence"": 0.6242431077694236, ""arousal"": 0.4704502506265665, ""dominance"": 0.5671241228070176, ""emotion"": [0.02506265664160401, 0.02412280701754386, 0.12218045112781954, 0.12349624060150374, 0.007518796992481203, 0.007518796992481203, 0.1287593984962406, 0.0]}"
14,2022-03-17 06:52:38+00:00,"{""valence"": 0.6179744468494469, ""arousal"": 0.46113419913419906, ""dominance"": 0.5731286075036076, ""emotion"": [0.058862433862433866, 0.08474627224627224, 0.07284151034151033, 0.07557720057720058, 0.03150553150553151, 0.06986531986531985, 0.07184944684944684, 0.021254208754208755]}"
15,2022-03-21 18:38:32+00:00,"{""valence"": 0.6189765873015872, ""arousal"": 0.4246140211640212, ""dominance"": 0.5326574074074074, ""emotion"": [0.030555555555555555, 0.026895943562610228, 0.1325837742504409, 0.06759259259259259, 0.050617283950617285, 0.03584656084656084, 0.050617283950617285, 0.005291005291005291]}"
16,2022-03-27 15:34:41+00:00,"{""valence"": 0.6084267857142858, ""arousal"": 0.44222623015873014, ""dominance"": 0.5409021957671958, ""emotion"": [0.041984126984126985, 0.033650793650793646, 0.062486772486772486, 0.06439153439153439, 0.0167989417989418, 0.0, 0.03637566137566138, 0.0]}"
17,2022-03-30 03:03:26+00:00,"{""valence"": 0.6278039965986394, ""arousal"": 0.46133375850340136, ""dominance"": 0.5482287414965986, ""emotion"": [0.008928571428571428, 0.08191609977324263, 0.053854875283446714, 0.15462018140589567, 0.01913265306122449, 0.044642857142857144, 0.0548469387755102, 0.008928571428571428]}"
18,2022-04-03 04:58:37+00:00,"{""valence"": 0.582448106060606, ""arousal"": 0.47341136363636366, ""dominance"": 0.5566308080808081, ""emotion"": [0.05454545454545454, 0.045454545454545456, 0.08573232323232323, 0.0715909090909091, 0.053914141414141414, 0.04886363636363636, 0.05454545454545454, 0.022727272727272728]}"
19,2022-04-05 06:32:39+00:00,"{""valence"": 0.6663250000000001, ""arousal"": 0.5148778985507247, ""dominance"": 0.598630641821946, ""emotion"": [0.014492753623188404, 0.021739130434782608, 0.09756728778467909, 0.10507246376811595, 0.06521739130434782, 0.014492753623188404, 0.09420289855072465, 0.0]}"
20,2022-04-08 18:34:35+00:00,"{""valence"": 0.6004608543417367, ""arousal"": 0.47315973389355753, ""dominance"": 0.5661794817927169, ""emotion"": [0.035364145658263305, 0.10889355742296918, 0.026470588235294117, 0.17268907563025213, 0.011764705882352941, 0.05742296918767506, 0.020168067226890758, 0.008403361344537815]}"
21,2022-04-09 20:51:01+00:00,"{""valence"": 0.5823874542124542, ""arousal"": 0.4494748168498168, ""dominance"": 0.5346249084249085, ""emotion"": [0.010989010989010988, 0.04945054945054945, 0.0956959706959707, 0.135989010989011, 0.08608058608058608, 0.044871794871794865, 0.0956959706959707, 0.019230769230769232]}"
22,2022-04-10 22:30:20+00:00,"{""valence"": 0.6729313492063492, ""arousal"": 0.4607688888888889, ""dominance"": 0.5716634126984128, ""emotion"": [0.02222222222222222, 0.022857142857142857, 0.235, 0.04666666666666666, 0.04444444444444444, 0.01111111111111111, 0.03333333333333333, 0.0]}"
