Segment_ID,DateTime,Segment_VAD_Emotion
0,2014-06-01 14:24:22+00:00,"{""valence"": 0.6259751388888889, ""arousal"": 0.4785590277777777, ""dominance"": 0.5367756944444446, ""emotion"": [0.005555555555555555, 0.06180555555555556, 0.1798611111111111, 0.16666666666666669, 0.0, 0.05625, 0.175, 0.005555555555555555]}"
1,2014-06-14 06:51:08+00:00,"{""valence"": 0.6637810279667422, ""arousal"": 0.4867404761904761, ""dominance"": 0.5378001889644746, ""emotion"": [0.01904761904761905, 0.009523809523809525, 0.04860166288737717, 0.14365079365079364, 0.03492063492063492, 0.025396825396825397, 0.09947089947089947, 0.009523809523809525]}"
2,2014-06-25 22:20:49+00:00,"{""valence"": 0.6508255411255411, ""arousal"": 0.4964637029637029, ""dominance"": 0.5450056693306693, ""emotion"": [0.03241758241758241, 0.041025641025641026, 0.12309357309357309, 0.034981684981684975, 0.08006993006993006, 0.049999999999999996, 0.06212121212121212, 0.0]}"
3,2014-07-04 02:03:42+00:00,"{""valence"": 0.5990159863945578, ""arousal"": 0.4742284013605441, ""dominance"": 0.5311775510204081, ""emotion"": [0.07142857142857142, 0.04285714285714286, 0.04353741496598639, 0.17091836734693877, 0.014285714285714287, 0.023809523809523808, 0.060884353741496595, 0.08163265306122448]}"
4,2014-07-06 12:20:59+00:00,"{""valence"": 0.6690998677248676, ""arousal"": 0.479589417989418, ""dominance"": 0.5346232804232804, ""emotion"": [0.02962962962962963, 0.04867724867724868, 0.12314814814814816, 0.0671957671957672, 0.018518518518518517, 0.06666666666666667, 0.04867724867724868, 0.027777777777777776]}"
5,2014-07-12 16:17:00+00:00,"{""valence"": 0.7053519978106185, ""arousal"": 0.46234551176792565, ""dominance"": 0.555878516694034, ""emotion"": [0.02216748768472906, 0.008620689655172414, 0.08653530377668309, 0.034482758620689655, 0.07298850574712644, 0.04261083743842365, 0.07216748768472905, 0.011494252873563218]}"
6,2014-07-18 20:10:06+00:00,"{""valence"": 0.6180266666666667, ""arousal"": 0.5266533333333333, ""dominance"": 0.5349983333333335, ""emotion"": [0.05333333333333333, 0.07333333333333333, 0.06333333333333332, 0.12, 0.01, 0.05333333333333333, 0.07666666666666666, 0.04333333333333333]}"
7,2014-07-26 03:45:50+00:00,"{""valence"": 0.6491805555555554, ""arousal"": 0.42716732804232804, ""dominance"": 0.5079917328042328, ""emotion"": [0.05423280423280422, 0.027777777777777776, 0.13657407407407407, 0.14914021164021163, 0.09953703703703703, 0.08333333333333333, 0.16435185185185186, 0.03571428571428571]}"
8,2014-07-29 17:13:52+00:00,"{""valence"": 0.5788145833333334, ""arousal"": 0.4881735119047619, ""dominance"": 0.5339462797619048, ""emotion"": [0.03645833333333333, 0.049479166666666664, 0.04114583333333333, 0.09895833333333334, 0.0, 0.03333333333333333, 0.05989583333333333, 0.06882440476190475]}"
9,2014-08-01 00:35:12+00:00,"{""valence"": 0.625907738095238, ""arousal"": 0.5019625, ""dominance"": 0.5321625, ""emotion"": [0.020833333333333336, 0.013095238095238096, 0.030357142857142853, 0.06011904761904763, 0.005952380952380952, 0.03511904761904762, 0.020833333333333336, 0.038690476190476185]}"
