Segment_ID,DateTime,Segment_VAD_Emotion
0,2022-02-09 03:28:23+00:00,"{""valence"": 0.5324605225184172, ""arousal"": 0.5215485892762208, ""dominance"": 0.5396931476418318, ""emotion"": [0.05261828814460394, 0.0692412850307587, 0.013366750208855471, 0.04049707602339181, 0.032664995822890563, 0.046411483253588515, 0.032163742690058485, 0.01541733120680489]}"
1,2022-02-10 04:03:57+00:00,"{""valence"": 0.5918021164021166, ""arousal"": 0.43793973063973063, ""dominance"": 0.5258994468494469, ""emotion"": [0.01851851851851852, 0.08888888888888888, 0.12907647907647907, 0.1378066378066378, 0.10288600288600289, 0.06902356902356901, 0.10288600288600289, 0.04444444444444444]}"
2,2022-02-11 14:39:47+00:00,"{""valence"": 0.5666748196248196, ""arousal"": 0.5052118326118327, ""dominance"": 0.4961049422799423, ""emotion"": [0.08654401154401153, 0.07907647907647908, 0.06664862914862914, 0.07177128427128426, 0.039953102453102456, 0.04942279942279942, 0.060155122655122656, 0.08654401154401153]}"
3,2022-02-13 19:23:58+00:00,"{""valence"": 0.6062500000000001, ""arousal"": 0.46622268518518517, ""dominance"": 0.543824074074074, ""emotion"": [0.05277777777777778, 0.13240740740740742, 0.10277777777777779, 0.07129629629629629, 0.0, 0.05, 0.037962962962962955, 0.04722222222222222]}"
4,2022-02-14 08:13:03+00:00,"{""valence"": 0.6140087868480725, ""arousal"": 0.4716515306122449, ""dominance"": 0.5386507936507937, ""emotion"": [0.08361678004535146, 0.07142857142857142, 0.1719954648526077, 0.08826530612244897, 0.0704081632653061, 0.12698412698412698, 0.0704081632653061, 0.041666666666666664]}"
5,2022-02-15 20:31:20+00:00,"{""valence"": 0.4990428571428571, ""arousal"": 0.532486507936508, ""dominance"": 0.5074789682539682, ""emotion"": [0.14285714285714285, 0.2388888888888889, 0.1246031746031746, 0.1761904761904762, 0.10238095238095238, 0.17222222222222222, 0.0857142857142857, 0.11666666666666667]}"
6,2022-02-16 16:56:51+00:00,"{""valence"": 0.5747011706349207, ""arousal"": 0.4834469444444444, ""dominance"": 0.5518112301587301, ""emotion"": [0.08805555555555555, 0.034722222222222224, 0.04611111111111112, 0.09956349206349205, 0.015555555555555555, 0.01111111111111111, 0.015555555555555555, 0.06555555555555556]}"
7,2022-02-19 03:56:38+00:00,"{""valence"": 0.5609501488095239, ""arousal"": 0.5580104166666667, ""dominance"": 0.5571125, ""emotion"": [0.10104166666666667, 0.17604166666666665, 0.16220238095238096, 0.13660714285714287, 0.08392857142857144, 0.10625, 0.13660714285714287, 0.090625]}"
8,2022-02-20 16:34:24+00:00,"{""valence"": 0.5636308673469388, ""arousal"": 0.47608903061224483, ""dominance"": 0.5338364795918368, ""emotion"": [0.07678571428571428, 0.11913265306122447, 0.09668367346938776, 0.10739795918367347, 0.04285714285714286, 0.09234693877551019, 0.05306122448979591, 0.06785714285714285]}"
9,2022-02-21 05:38:05+00:00,"{""valence"": 0.5856041666666668, ""arousal"": 0.5022367063492064, ""dominance"": 0.5436013888888889, ""emotion"": [0.047619047619047616, 0.07936507936507937, 0.12400793650793651, 0.13095238095238096, 0.03571428571428571, 0.03571428571428571, 0.07539682539682538, 0.019841269841269844]}"
10,2022-02-22 15:07:24+00:00,"{""valence"": 0.5840178571428573, ""arousal"": 0.5417797619047618, ""dominance"": 0.5428904761904763, ""emotion"": [0.16666666666666669, 0.20238095238095238, 0.049999999999999996, 0.14166666666666666, 0.02619047619047619, 0.0, 0.049999999999999996, 0.07142857142857142]}"
11,2022-02-23 15:40:14+00:00,"{""valence"": 0.5582820802005013, ""arousal"": 0.5083831054910002, ""dominance"": 0.580120255183413, ""emotion"": [0.06618819776714513, 0.06573251310093416, 0.03508771929824561, 0.052551834130781495, 0.008771929824561403, 0.057416267942583726, 0.0, 0.020676691729323307]}"
12,2022-02-25 01:22:51+00:00,"{""valence"": 0.5593430735930736, ""arousal"": 0.4655989718614718, ""dominance"": 0.544185497835498, ""emotion"": [0.07012987012987014, 0.027759740259740262, 0.03273809523809524, 0.07510822510822511, 0.01406926406926407, 0.02207792207792208, 0.01515151515151515, 0.026948051948051947]}"
