Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2021-01-08 18:26:55+00:00,"{""valence"": 0.5772072562358277, ""arousal"": 0.481611507936508, ""dominance"": 0.5521719954648525, ""emotion"": [0.10476190476190475, 0.16258503401360544, 0.04829931972789116, 0.06972789115646258, 0.02619047619047619, 0.052380952380952375, 0.03571428571428571, 0.05476190476190477]}","[{""valence"": 0.16016666666666665, ""arousal"": 0.8636666666666667, ""dominance"": 0.5741666666666667}, {""valence"": 0.2977272727272728, ""arousal"": 0.6495454545454546, ""dominance"": 0.5777272727272726}, {""valence"": 0.58325, ""arousal"": 0.4595, ""dominance"": 0.52}, {""valence"": 0.7397499999999999, ""arousal"": 0.5087499999999999, ""dominance"": 0.71475}, {""valence"": 0.097, ""arousal"": 0.905, ""dominance"": 0.5245}, {""valence"": 0.27775000000000005, ""arousal"": 0.564, ""dominance"": 0.43450000000000005}, {""valence"": 0.63, ""arousal"": 0.306, ""dominance"": 0.333}, {""valence"": 0.08675000000000001, ""arousal"": 0.887, ""dominance"": 0.48775}]"
1,2021-01-12 18:12:26+00:00,"{""valence"": 0.5622355072463768, ""arousal"": 0.3890610075914424, ""dominance"": 0.5000338164251208, ""emotion"": [0.041407867494824016, 0.04278812974465149, 0.03174603174603175, 0.09703243616287092, 0.0, 0.01725327812284334, 0.007246376811594202, 0.0]}","[{""valence"": 0.33616666666666667, ""arousal"": 0.6963333333333334, ""dominance"": 0.5338333333333333}, {""valence"": 0.35642857142857143, ""arousal"": 0.5697142857142857, ""dominance"": 0.4734285714285714}, {""valence"": 0.4734000000000001, ""arousal"": 0.4986, ""dominance"": 0.516}, {""valence"": 0.6923333333333334, ""arousal"": 0.4288888888888889, ""dominance"": 0.6652222222222223}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.118, ""arousal"": 0.5446666666666666, ""dominance"": 0.28833333333333333}, {""valence"": 0.75, ""arousal"": 0.36, ""dominance"": 0.727}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
2,2021-01-15 13:19:51+00:00,"{""valence"": 0.5926102240896358, ""arousal"": 0.47544131652661054, ""dominance"": 0.5436712885154061, ""emotion"": [0.06722689075630252, 0.11400560224089636, 0.10576563958916899, 0.09631185807656395, 0.037324929971988795, 0.09533146591970121, 0.057843137254901957, 0.0803921568627451]}","[{""valence"": 0.224, ""arousal"": 0.7615000000000001, ""dominance"": 0.51}, {""valence"": 0.28900000000000003, ""arousal"": 0.6508571428571429, ""dominance"": 0.533}, {""valence"": 0.7601818181818182, ""arousal"": 0.5201818181818182, ""dominance"": 0.6392727272727273}, {""valence"": 0.8316000000000001, ""arousal"": 0.5494000000000001, ""dominance"": 0.6990000000000001}, {""valence"": 0.6957500000000001, ""arousal"": 0.5325, ""dominance"": 0.64525}, {""valence"": 0.1328, ""arousal"": 0.5738, ""dominance"": 0.3966}, {""valence"": 0.8926666666666666, ""arousal"": 0.5853333333333334, ""dominance"": 0.6898333333333334}, {""valence"": 0.2703333333333333, ""arousal"": 0.5206666666666667, ""dominance"": 0.37366666666666665}]"
3,2021-01-22 09:21:38+00:00,"{""valence"": 0.6080448717948718, ""arousal"": 0.4562124542124542, ""dominance"": 0.5557212454212455, ""emotion"": [0.036630036630036625, 0.010989010989010988, 0.039194139194139194, 0.1053113553113553, 0.019230769230769232, 0.05201465201465202, 0.02820512820512821, 0.0]}","[{""valence"": 0.271, ""arousal"": 0.811, ""dominance"": 0.571}, {""valence"": 0.16, ""arousal"": 0.79, ""dominance"": 0.544}, {""valence"": 0.7130000000000001, ""arousal"": 0.501, ""dominance"": 0.5640000000000001}, {""valence"": 0.7425, ""arousal"": 0.501, ""dominance"": 0.7723333333333334}, {""valence"": 0.429, ""arousal"": 0.769, ""dominance"": 0.515}, {""valence"": 0.40066666666666667, ""arousal"": 0.6716666666666667, ""dominance"": 0.5036666666666667}, {""valence"": 0.799, ""arousal"": 0.595, ""dominance"": 0.7125}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
4,2021-01-22 14:55:59+00:00,"{""valence"": 0.5725011022927691, ""arousal"": 0.4531358245149911, ""dominance"": 0.5395531525573193, ""emotion"": [0.058311287477954145, 0.05630511463844797, 0.04259259259259259, 0.06904761904761905, 0.020370370370370372, 0.045282186948853616, 0.018055555555555557, 0.013888888888888888]}","[{""valence"": 0.2904285714285715, ""arousal"": 0.7252857142857143, ""dominance"": 0.5421428571428571}, {""valence"": 0.33216666666666667, ""arousal"": 0.6466666666666666, ""dominance"": 0.5015}, {""valence"": 0.61975, ""arousal"": 0.42425, ""dominance"": 0.5205}, {""valence"": 0.6277142857142856, ""arousal"": 0.5198571428571429, ""dominance"": 0.6312857142857143}, {""valence"": 0.4425, ""arousal"": 0.5615, ""dominance"": 0.525}, {""valence"": 0.21680000000000002, ""arousal"": 0.5936, ""dominance"": 0.3846}, {""valence"": 0.69, ""arousal"": 0.33299999999999996, ""dominance"": 0.53}, {""valence"": 0.098, ""arousal"": 0.847, ""dominance"": 0.337}]"
5,2021-01-25 20:13:48+00:00,"{""valence"": 0.581217261904762, ""arousal"": 0.4365181216931217, ""dominance"": 0.5553761904761904, ""emotion"": [0.032407407407407406, 0.08472222222222221, 0.07645502645502646, 0.0853174603174603, 0.034722222222222224, 0.055092592592592596, 0.058862433862433866, 0.023148148148148147]}","[{""valence"": 0.5463333333333334, ""arousal"": 0.681, ""dominance"": 0.7243333333333334}, {""valence"": 0.43550000000000005, ""arousal"": 0.645375, ""dominance"": 0.5855}, {""valence"": 0.716857142857143, ""arousal"": 0.45228571428571435, ""dominance"": 0.5830000000000001}, {""valence"": 0.8164999999999999, ""arousal"": 0.46512499999999996, ""dominance"": 0.690625}, {""valence"": 0.6443333333333333, ""arousal"": 0.5153333333333333, ""dominance"": 0.6136666666666667}, {""valence"": 0.3198, ""arousal"": 0.5394, ""dominance"": 0.45120000000000005}, {""valence"": 0.8638, ""arousal"": 0.4391999999999999, ""dominance"": 0.6809999999999999}, {""valence"": 0.5780000000000001, ""arousal"": 0.2545, ""dominance"": 0.4435}]"
6,2021-01-29 09:40:02+00:00,"{""valence"": 0.5986926984126985, ""arousal"": 0.4580692857142857, ""dominance"": 0.5509878571428571, ""emotion"": [0.06174603174603175, 0.07023809523809524, 0.07142857142857142, 0.0857936507936508, 0.04126984126984126, 0.05119047619047619, 0.04682539682539682, 0.02222222222222222]}","[{""valence"": 0.4293333333333333, ""arousal"": 0.41683333333333344, ""dominance"": 0.48616666666666664}, {""valence"": 0.3511428571428571, ""arousal"": 0.6414285714285715, ""dominance"": 0.5992857142857143}, {""valence"": 0.6749999999999999, ""arousal"": 0.4821428571428571, ""dominance"": 0.5974285714285715}, {""valence"": 0.769875, ""arousal"": 0.408625, ""dominance"": 0.6515000000000001}, {""valence"": 0.5215000000000001, ""arousal"": 0.622, ""dominance"": 0.57575}, {""valence"": 0.24900000000000003, ""arousal"": 0.5896, ""dominance"": 0.503}, {""valence"": 0.8562, ""arousal"": 0.4417999999999999, ""dominance"": 0.6316}, {""valence"": 0.328, ""arousal"": 0.4925, ""dominance"": 0.51}]"
7,2021-01-29 12:58:25+00:00,"{""valence"": 0.5546204212454213, ""arousal"": 0.4924437728937728, ""dominance"": 0.5522260073260074, ""emotion"": [0.044871794871794865, 0.11474358974358975, 0.036630036630036625, 0.12005494505494504, 0.035989010989010986, 0.0673076923076923, 0.0, 0.0]}","[{""valence"": 0.1785, ""arousal"": 0.9065000000000001, ""dominance"": 0.661}, {""valence"": 0.30179999999999996, ""arousal"": 0.6936000000000001, ""dominance"": 0.5004}, {""valence"": 0.5, ""arousal"": 0.3365, ""dominance"": 0.4}, {""valence"": 0.618125, ""arousal"": 0.423875, ""dominance"": 0.653125}, {""valence"": 0.5006666666666667, ""arousal"": 0.5926666666666667, ""dominance"": 0.49099999999999994}, {""valence"": 0.15866666666666665, ""arousal"": 0.6743333333333333, ""dominance"": 0.38166666666666665}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
8,2021-01-31 15:40:46+00:00,"{""valence"": 0.5793405753968254, ""arousal"": 0.4547488839285715, ""dominance"": 0.5592684275793651, ""emotion"": [0.07621527777777777, 0.07274305555555556, 0.07309027777777777, 0.11805555555555554, 0.02638888888888889, 0.03888888888888889, 0.03888888888888889, 0.03194444444444444]}","[{""valence"": 0.3335, ""arousal"": 0.7245000000000001, ""dominance"": 0.587125}, {""valence"": 0.37825000000000003, ""arousal"": 0.719875, ""dominance"": 0.594375}, {""valence"": 0.654875, ""arousal"": 0.409125, ""dominance"": 0.61075}, {""valence"": 0.6927777777777778, ""arousal"": 0.42900000000000005, ""dominance"": 0.6712222222222223}, {""valence"": 0.8633333333333333, ""arousal"": 0.3123333333333333, ""dominance"": 0.6086666666666667}, {""valence"": 0.26449999999999996, ""arousal"": 0.67675, ""dominance"": 0.48875}, {""valence"": 0.835, ""arousal"": 0.38475000000000004, ""dominance"": 0.6305000000000001}, {""valence"": 0.29933333333333334, ""arousal"": 0.639, ""dominance"": 0.4703333333333333}]"
9,2021-02-04 16:46:46+00:00,"{""valence"": 0.5709296874999998, ""arousal"": 0.4287512152777778, ""dominance"": 0.539785763888889, ""emotion"": [0.03732638888888889, 0.075, 0.04461805555555556, 0.09722222222222222, 0.03819444444444444, 0.0, 0.04253472222222222, 0.0]}","[{""valence"": 0.3292, ""arousal"": 0.7846, ""dominance"": 0.6394}, {""valence"": 0.37037499999999995, ""arousal"": 0.7183750000000001, ""dominance"": 0.6272500000000001}, {""valence"": 0.7412, ""arousal"": 0.3794, ""dominance"": 0.6428}, {""valence"": 0.715, ""arousal"": 0.49927272727272726, ""dominance"": 0.7287272727272728}, {""valence"": 0.6875, ""arousal"": 0.51875, ""dominance"": 0.6395}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.7586, ""arousal"": 0.4144, ""dominance"": 0.6978}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
10,2021-02-05 16:56:49+00:00,"{""valence"": 0.5863556216931215, ""arousal"": 0.4415798721340389, ""dominance"": 0.5537501984126983, ""emotion"": [0.02513227513227513, 0.03880070546737213, 0.05961199294532628, 0.05103615520282187, 0.015873015873015872, 0.03880070546737213, 0.015873015873015872, 0.024140211640211642]}","[{""valence"": 0.13133333333333333, ""arousal"": 0.8436666666666667, ""dominance"": 0.5546666666666668}, {""valence"": 0.164, ""arousal"": 0.692, ""dominance"": 0.49280000000000007}, {""valence"": 0.7516666666666666, ""arousal"": 0.4745, ""dominance"": 0.62}, {""valence"": 0.7804285714285715, ""arousal"": 0.4802857142857143, ""dominance"": 0.7484285714285714}, {""valence"": 0.489, ""arousal"": 0.7775000000000001, ""dominance"": 0.672}, {""valence"": 0.0954, ""arousal"": 0.7612, ""dominance"": 0.45640000000000003}, {""valence"": 0.9325, ""arousal"": 0.6035, ""dominance"": 0.908}, {""valence"": 0.061333333333333344, ""arousal"": 0.6953333333333332, ""dominance"": 0.41533333333333333}]"
11,2021-02-09 18:15:02+00:00,"{""valence"": 0.5913374098124099, ""arousal"": 0.4063802164502165, ""dominance"": 0.5117885858585859, ""emotion"": [0.05656565656565656, 0.023232323232323233, 0.05101010101010101, 0.09884559884559883, 0.03535353535353535, 0.03378787878787879, 0.04227994227994228, 0.006060606060606061]}","[{""valence"": 0.4524, ""arousal"": 0.7100000000000001, ""dominance"": 0.6038}, {""valence"": 0.5733333333333334, ""arousal"": 0.6426666666666666, ""dominance"": 0.6256666666666667}, {""valence"": 0.7866, ""arousal"": 0.3888, ""dominance"": 0.6202}, {""valence"": 0.7087777777777777, ""arousal"": 0.43877777777777777, ""dominance"": 0.604}, {""valence"": 0.6815999999999999, ""arousal"": 0.5838, ""dominance"": 0.6138}, {""valence"": 0.33475, ""arousal"": 0.49549999999999994, ""dominance"": 0.39625}, {""valence"": 0.776, ""arousal"": 0.4138, ""dominance"": 0.5824}, {""valence"": 0.062, ""arousal"": 0.694, ""dominance"": 0.445}]"
12,2021-02-12 16:55:02+00:00,"{""valence"": 0.5796199413086913, ""arousal"": 0.402733841991342, ""dominance"": 0.49141859265734267, ""emotion"": [0.03892732267732268, 0.03178446553446554, 0.0494047619047619, 0.037976190476190476, 0.026271645021645022, 0.020096153846153847, 0.04226190476190476, 0.018333333333333333]}","[{""valence"": 0.2456666666666667, ""arousal"": 0.6971666666666668, ""dominance"": 0.4711666666666667}, {""valence"": 0.34060000000000007, ""arousal"": 0.6402, ""dominance"": 0.479}, {""valence"": 0.7282857142857141, ""arousal"": 0.5008571428571428, ""dominance"": 0.667}, {""valence"": 0.7602, ""arousal"": 0.3638, ""dominance"": 0.5634}, {""valence"": 0.551, ""arousal"": 0.554, ""dominance"": 0.5005000000000001}, {""valence"": 0.23233333333333336, ""arousal"": 0.6086666666666667, ""dominance"": 0.4163333333333333}, {""valence"": 0.8080000000000002, ""arousal"": 0.5053333333333333, ""dominance"": 0.6571666666666667}, {""valence"": 0.3015, ""arousal"": 0.6755, ""dominance"": 0.515}]"
13,2021-02-16 18:51:53+00:00,"{""valence"": 0.5638863945578232, ""arousal"": 0.4157170918367346, ""dominance"": 0.5373669217687075, ""emotion"": [0.052465986394557816, 0.03163265306122449, 0.1483843537414966, 0.07508503401360545, 0.03103741496598639, 0.014285714285714287, 0.020833333333333332, 0.02933673469387755]}","[{""valence"": 0.34959999999999997, ""arousal"": 0.8008, ""dominance"": 0.6411999999999999}, {""valence"": 0.3496666666666666, ""arousal"": 0.7256666666666666, ""dominance"": 0.613}, {""valence"": 0.6243333333333333, ""arousal"": 0.4906666666666666, ""dominance"": 0.6513333333333333}, {""valence"": 0.7064285714285715, ""arousal"": 0.5085714285714286, ""dominance"": 0.7252857142857143}, {""valence"": 0.6829999999999999, ""arousal"": 0.6013333333333333, ""dominance"": 0.7493333333333333}, {""valence"": 0.08, ""arousal"": 0.959, ""dominance"": 0.696}, {""valence"": 0.842, ""arousal"": 0.5589999999999999, ""dominance"": 0.8394999999999999}, {""valence"": 0.12266666666666666, ""arousal"": 0.5379999999999999, ""dominance"": 0.26166666666666666}]"
