Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2021-02-19 23:33:53+00:00,"{""valence"": 0.6248680952380953, ""arousal"": 0.46187349206349204, ""dominance"": 0.539567619047619, ""emotion"": [0.009523809523809523, 0.04507936507936508, 0.06063492063492063, 0.1273015873015873, 0.031746031746031744, 0.04793650793650793, 0.04507936507936508, 0.04952380952380952]}","[{""valence"": 0.235, ""arousal"": 0.931, ""dominance"": 0.679}, {""valence"": 0.609, ""arousal"": 0.441, ""dominance"": 0.5259999999999999}, {""valence"": 0.61875, ""arousal"": 0.45775, ""dominance"": 0.43574999999999997}, {""valence"": 0.6934, ""arousal"": 0.4532, ""dominance"": 0.5940000000000001}, {""valence"": 0.55, ""arousal"": 0.489, ""dominance"": 0.4385}, {""valence"": 0.3484, ""arousal"": 0.4946, ""dominance"": 0.4806}, {""valence"": 0.702, ""arousal"": 0.51425, ""dominance"": 0.51075}, {""valence"": 0.32, ""arousal"": 0.41733333333333333, ""dominance"": 0.297}]"
1,2021-02-23 00:39:44+00:00,"{""valence"": 0.5918277432712215, ""arousal"": 0.39944699792960664, ""dominance"": 0.4837802277432712, ""emotion"": [0.02577639751552795, 0.031987577639751553, 0.10093167701863352, 0.05217391304347826, 0.021739130434782608, 0.04751552795031056, 0.006211180124223602, 0.034472049689440995]}","[{""valence"": 0.13399999999999998, ""arousal"": 0.575, ""dominance"": 0.23700000000000002}, {""valence"": 0.40925, ""arousal"": 0.5512499999999999, ""dominance"": 0.41}, {""valence"": 0.56775, ""arousal"": 0.38299999999999995, ""dominance"": 0.533375}, {""valence"": 0.63, ""arousal"": 0.358, ""dominance"": 0.585}, {""valence"": 0.125, ""arousal"": 0.427, ""dominance"": 0.259}, {""valence"": 0.13174999999999998, ""arousal"": 0.538, ""dominance"": 0.2425}, {""valence"": 0.918, ""arousal"": 0.843, ""dominance"": 0.667}, {""valence"": 0.189, ""arousal"": 0.4385, ""dominance"": 0.176}]"
2,2021-02-27 19:06:47+00:00,"{""valence"": 0.6469027777777776, ""arousal"": 0.4578047619047619, ""dominance"": 0.5312587301587303, ""emotion"": [0.047619047619047616, 0.05555555555555556, 0.041666666666666664, 0.12500000000000003, 0.0, 0.0634920634920635, 0.06349206349206349, 0.007936507936507936]}","[{""valence"": 0.235, ""arousal"": 0.931, ""dominance"": 0.679}, {""valence"": 0.34850000000000003, ""arousal"": 0.257, ""dominance"": 0.1785}, {""valence"": 0.802, ""arousal"": 0.4925, ""dominance"": 0.597}, {""valence"": 0.6564, ""arousal"": 0.3787999999999999, ""dominance"": 0.5476}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.267, ""arousal"": 0.315, ""dominance"": 0.16433333333333333}, {""valence"": 0.9590000000000001, ""arousal"": 0.681, ""dominance"": 0.67}, {""valence"": 0.104, ""arousal"": 0.431, ""dominance"": 0.136}]"
3,2021-03-05 16:38:28+00:00,"{""valence"": 0.6558580476190475, ""arousal"": 0.44868704761904765, ""dominance"": 0.5158195238095238, ""emotion"": [0.06133333333333333, 0.04333333333333333, 0.09504761904761905, 0.057999999999999996, 0.05704761904761905, 0.05333333333333333, 0.057999999999999996, 0.06]}","[{""valence"": 0.31875, ""arousal"": 0.59375, ""dominance"": 0.4235}, {""valence"": 0.37833333333333335, ""arousal"": 0.3673333333333333, ""dominance"": 0.3486666666666667}, {""valence"": 0.636111111111111, ""arousal"": 0.4126666666666667, ""dominance"": 0.5111111111111111}, {""valence"": 0.7478, ""arousal"": 0.4497999999999999, ""dominance"": 0.5748}, {""valence"": 0.6584, ""arousal"": 0.5246, ""dominance"": 0.6157999999999999}, {""valence"": 0.26166666666666666, ""arousal"": 0.5449999999999999, ""dominance"": 0.37366666666666665}, {""valence"": 0.7478, ""arousal"": 0.4497999999999999, ""dominance"": 0.5748}, {""valence"": 0.26199999999999996, ""arousal"": 0.5226666666666667, ""dominance"": 0.31233333333333335}]"
4,2021-03-10 12:07:35+00:00,"{""valence"": 0.6483428571428572, ""arousal"": 0.47308984962406025, ""dominance"": 0.5223295739348369, ""emotion"": [0.02556390977443609, 0.010526315789473684, 0.0974937343358396, 0.058771929824561406, 0.045614035087719294, 0.02556390977443609, 0.07631578947368421, 0.015037593984962405]}","[{""valence"": 0.18233333333333335, ""arousal"": 0.6583333333333333, ""dominance"": 0.36599999999999994}, {""valence"": 0.229, ""arousal"": 0.787, ""dominance"": 0.608}, {""valence"": 0.7115714285714286, ""arousal"": 0.5598571428571428, ""dominance"": 0.643}, {""valence"": 0.6518, ""arousal"": 0.39280000000000004, ""dominance"": 0.5394}, {""valence"": 0.4423333333333333, ""arousal"": 0.6526666666666667, ""dominance"": 0.5206666666666667}, {""valence"": 0.5083333333333333, ""arousal"": 0.6923333333333334, ""dominance"": 0.5653333333333334}, {""valence"": 0.7605000000000001, ""arousal"": 0.63125, ""dominance"": 0.621}, {""valence"": 0.159, ""arousal"": 0.594, ""dominance"": 0.245}]"
5,2021-03-14 15:08:03+00:00,"{""valence"": 0.6169106190476189, ""arousal"": 0.4402236666666666, ""dominance"": 0.5119894285714285, ""emotion"": [0.024047619047619047, 0.05166666666666666, 0.06433333333333334, 0.048, 0.018000000000000002, 0.025, 0.029666666666666668, 0.006666666666666666]}","[{""valence"": 0.23933333333333337, ""arousal"": 0.6956666666666665, ""dominance"": 0.33033333333333337}, {""valence"": 0.303, ""arousal"": 0.579, ""dominance"": 0.288}, {""valence"": 0.734, ""arousal"": 0.44257142857142856, ""dominance"": 0.49214285714285716}, {""valence"": 0.8134999999999999, ""arousal"": 0.37075, ""dominance"": 0.55025}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.17166666666666666, ""arousal"": 0.7403333333333334, ""dominance"": 0.27666666666666667}, {""valence"": 0.9484999999999999, ""arousal"": 0.5245, ""dominance"": 0.6020000000000001}, {""valence"": 0.245, ""arousal"": 0.84, ""dominance"": 0.377}]"
6,2021-03-19 18:17:18+00:00,"{""valence"": 0.61032, ""arousal"": 0.4501770833333333, ""dominance"": 0.5358741666666667, ""emotion"": [0.03166666666666666, 0.05499999999999999, 0.034166666666666665, 0.085, 0.0, 0.03666666666666667, 0.04875, 0.026666666666666665]}","[{""valence"": 0.16633333333333336, ""arousal"": 0.5716666666666667, ""dominance"": 0.3353333333333333}, {""valence"": 0.45749999999999996, ""arousal"": 0.6212500000000001, ""dominance"": 0.6275000000000001}, {""valence"": 0.68325, ""arousal"": 0.52, ""dominance"": 0.654}, {""valence"": 0.7116666666666666, ""arousal"": 0.4555555555555555, ""dominance"": 0.6030000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.32, ""arousal"": 0.42975, ""dominance"": 0.32}, {""valence"": 0.8808, ""arousal"": 0.533, ""dominance"": 0.692}, {""valence"": 0.0465, ""arousal"": 0.6315000000000001, ""dominance"": 0.309}]"
7,2021-03-24 11:29:50+00:00,"{""valence"": 0.6344141414141414, ""arousal"": 0.45364633838383844, ""dominance"": 0.5263268939393941, ""emotion"": [0.029040404040404037, 0.016414141414141412, 0.1799242424242424, 0.11868686868686867, 0.10606060606060605, 0.011363636363636364, 0.16919191919191917, 0.011363636363636364]}","[{""valence"": 0.08975000000000001, ""arousal"": 0.78475, ""dominance"": 0.4315}, {""valence"": 0.0805, ""arousal"": 0.736, ""dominance"": 0.425}, {""valence"": 0.7554000000000001, ""arousal"": 0.5704, ""dominance"": 0.5398000000000001}, {""valence"": 0.8990000000000001, ""arousal"": 0.6134285714285713, ""dominance"": 0.6601428571428573}, {""valence"": 0.892, ""arousal"": 0.6799999999999999, ""dominance"": 0.5774000000000001}, {""valence"": 0.031, ""arousal"": 0.802, ""dominance"": 0.43}, {""valence"": 0.9187272727272727, ""arousal"": 0.646818181818182, ""dominance"": 0.6447272727272728}, {""valence"": 0.031, ""arousal"": 0.802, ""dominance"": 0.43}]"
8,2021-03-29 15:17:07+00:00,"{""valence"": 0.6460115384615387, ""arousal"": 0.43413012820512825, ""dominance"": 0.5493564102564104, ""emotion"": [0.020512820512820513, 0.06666666666666667, 0.15833333333333335, 0.1185897435897436, 0.04615384615384615, 0.007692307692307693, 0.11025641025641025, 0.0]}","[{""valence"": 0.3835, ""arousal"": 0.7415, ""dominance"": 0.5385}, {""valence"": 0.5740000000000001, ""arousal"": 0.66025, ""dominance"": 0.66825}, {""valence"": 0.7722222222222223, ""arousal"": 0.4211111111111111, ""dominance"": 0.6205555555555554}, {""valence"": 0.8021666666666666, ""arousal"": 0.4603333333333333, ""dominance"": 0.6718333333333333}, {""valence"": 0.8545, ""arousal"": 0.504, ""dominance"": 0.622}, {""valence"": 0.663, ""arousal"": 0.679, ""dominance"": 0.637}, {""valence"": 0.8367999999999999, ""arousal"": 0.5284, ""dominance"": 0.667}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
9,2021-04-05 02:15:53+00:00,"{""valence"": 0.6341452546296297, ""arousal"": 0.43101701388888897, ""dominance"": 0.5354857638888889, ""emotion"": [0.0, 0.027777777777777776, 0.11168981481481483, 0.07638888888888888, 0.024305555555555552, 0.044444444444444446, 0.024305555555555552, 0.0]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.031, ""arousal"": 0.765, ""dominance"": 0.259}, {""valence"": 0.7028, ""arousal"": 0.46349999999999997, ""dominance"": 0.5623000000000001}, {""valence"": 0.7642500000000001, ""arousal"": 0.41274999999999995, ""dominance"": 0.66475}, {""valence"": 0.812, ""arousal"": 0.24, ""dominance"": 0.693}, {""valence"": 0.3395, ""arousal"": 0.705, ""dominance"": 0.4015}, {""valence"": 0.812, ""arousal"": 0.24, ""dominance"": 0.693}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
