Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2019-11-16 21:00:00+00:00,"{""valence"": 0.6102471726190476, ""arousal"": 0.4476936011904762, ""dominance"": 0.5117269345238095, ""emotion"": [0.06101190476190476, 0.02976190476190476, 0.054315476190476185, 0.12872023809523808, 0.040178571428571425, 0.08928571428571427, 0.015625, 0.028273809523809524]}","[{""valence"": 0.15325, ""arousal"": 0.54875, ""dominance"": 0.41500000000000004}, {""valence"": 0.21166666666666667, ""arousal"": 0.492, ""dominance"": 0.365}, {""valence"": 0.466, ""arousal"": 0.4654, ""dominance"": 0.5298}, {""valence"": 0.6585000000000001, ""arousal"": 0.4471666666666667, ""dominance"": 0.6116666666666667}, {""valence"": 0.4666666666666666, ""arousal"": 0.765, ""dominance"": 0.6226666666666666}, {""valence"": 0.19266666666666668, ""arousal"": 0.4688333333333334, ""dominance"": 0.34883333333333333}, {""valence"": 0.94, ""arousal"": 0.806, ""dominance"": 0.881}, {""valence"": 0.08333333333333333, ""arousal"": 0.5630000000000001, ""dominance"": 0.296}]"
1,2019-11-20 16:41:29+00:00,"{""valence"": 0.5899410714285714, ""arousal"": 0.4779676807760141, ""dominance"": 0.5040893518518518, ""emotion"": [0.13386243386243385, 0.08862433862433862, 0.10597442680776013, 0.09556878306878307, 0.017195767195767195, 0.03201058201058201, 0.03392857142857143, 0.0]}","[{""valence"": 0.3762, ""arousal"": 0.6722, ""dominance"": 0.5342}, {""valence"": 0.372, ""arousal"": 0.5952, ""dominance"": 0.398}, {""valence"": 0.63375, ""arousal"": 0.472, ""dominance"": 0.5323749999999999}, {""valence"": 0.7171428571428571, ""arousal"": 0.42842857142857144, ""dominance"": 0.6017142857142858}, {""valence"": 0.6094999999999999, ""arousal"": 0.4615, ""dominance"": 0.5609999999999999}, {""valence"": 0.255, ""arousal"": 0.46399999999999997, ""dominance"": 0.33299999999999996}, {""valence"": 0.86575, ""arousal"": 0.51325, ""dominance"": 0.6605000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
2,2019-11-30 20:59:24+00:00,"{""valence"": 0.6639541208791209, ""arousal"": 0.41946712454212454, ""dominance"": 0.546911446886447, ""emotion"": [0.02380952380952381, 0.030494505494505497, 0.07087912087912088, 0.03882783882783883, 0.01282051282051282, 0.0, 0.05128205128205128, 0.0]}","[{""valence"": 0.5870000000000001, ""arousal"": 0.7453333333333334, ""dominance"": 0.6926666666666667}, {""valence"": 0.5155000000000001, ""arousal"": 0.49, ""dominance"": 0.4955}, {""valence"": 0.6352222222222221, ""arousal"": 0.43300000000000005, ""dominance"": 0.51}, {""valence"": 0.7154999999999999, ""arousal"": 0.47850000000000004, ""dominance"": 0.62075}, {""valence"": 0.844, ""arousal"": 0.608, ""dominance"": 0.827}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.8405, ""arousal"": 0.4865, ""dominance"": 0.641}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
3,2019-12-05 21:58:47+00:00,"{""valence"": 0.6233492394179893, ""arousal"": 0.45339930555555563, ""dominance"": 0.5147295304232804, ""emotion"": [0.027777777777777776, 0.1314484126984127, 0.16038359788359788, 0.0701058201058201, 0.027777777777777776, 0.022321428571428572, 0.07903439153439153, 0.0]}","[{""valence"": 0.844, ""arousal"": 0.608, ""dominance"": 0.827}, {""valence"": 0.40540000000000004, ""arousal"": 0.4782, ""dominance"": 0.4034}, {""valence"": 0.6453333333333334, ""arousal"": 0.45908333333333334, ""dominance"": 0.5696666666666667}, {""valence"": 0.8125714285714285, ""arousal"": 0.533, ""dominance"": 0.6917142857142856}, {""valence"": 0.844, ""arousal"": 0.608, ""dominance"": 0.827}, {""valence"": 0.35000000000000003, ""arousal"": 0.744, ""dominance"": 0.44200000000000006}, {""valence"": 0.8665714285714285, ""arousal"": 0.5455714285714286, ""dominance"": 0.7278571428571429}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
4,2019-12-11 11:28:37+00:00,"{""valence"": 0.6121299019607842, ""arousal"": 0.45162794117647065, ""dominance"": 0.5160936274509803, ""emotion"": [0.050980392156862744, 0.053921568627450976, 0.1593137254901961, 0.12401960784313726, 0.08529411764705883, 0.024509803921568624, 0.1122549019607843, 0.0]}","[{""valence"": 0.41475000000000006, ""arousal"": 0.66725, ""dominance"": 0.5800000000000001}, {""valence"": 0.47975, ""arousal"": 0.556, ""dominance"": 0.5542499999999999}, {""valence"": 0.5988571428571429, ""arousal"": 0.3924285714285714, ""dominance"": 0.5134285714285715}, {""valence"": 0.8186666666666665, ""arousal"": 0.4838333333333333, ""dominance"": 0.6511666666666667}, {""valence"": 0.639, ""arousal"": 0.5983333333333333, ""dominance"": 0.5596666666666666}, {""valence"": 0.2605, ""arousal"": 0.663, ""dominance"": 0.54}, {""valence"": 0.8388, ""arousal"": 0.5394, ""dominance"": 0.6439999999999999}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
5,2019-12-17 15:49:34+00:00,"{""valence"": 0.6471765151515151, ""arousal"": 0.4516212121212121, ""dominance"": 0.5278643939393939, ""emotion"": [0.009090909090909092, 0.026515151515151512, 0.08257575757575758, 0.018939393939393936, 0.022727272727272728, 0.022727272727272728, 0.03787878787878787, 0.0]}","[{""valence"": 0.271, ""arousal"": 0.791, ""dominance"": 0.526}, {""valence"": 0.531, ""arousal"": 0.3459999999999999, ""dominance"": 0.423}, {""valence"": 0.6614444444444443, ""arousal"": 0.4225555555555556, ""dominance"": 0.5465555555555556}, {""valence"": 0.9185, ""arousal"": 0.528, ""dominance"": 0.739}, {""valence"": 0.8586666666666667, ""arousal"": 0.571, ""dominance"": 0.5966666666666667}, {""valence"": 0.188, ""arousal"": 0.598, ""dominance"": 0.375}, {""valence"": 0.9306666666666666, ""arousal"": 0.459, ""dominance"": 0.6413333333333333}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
6,2019-12-23 22:24:18+00:00,"{""valence"": 0.7209877777777778, ""arousal"": 0.4790019841269841, ""dominance"": 0.5913227777777778, ""emotion"": [0.02619047619047619, 0.019047619047619046, 0.12460317460317459, 0.18293650793650792, 0.03888888888888888, 0.017857142857142856, 0.1817460317460317, 0.008333333333333333]}","[{""valence"": 0.13033333333333333, ""arousal"": 0.8173333333333334, ""dominance"": 0.43133333333333335}, {""valence"": 0.3435, ""arousal"": 0.5945, ""dominance"": 0.372}, {""valence"": 0.8014444444444445, ""arousal"": 0.5668888888888888, ""dominance"": 0.7275555555555555}, {""valence"": 0.8185555555555557, ""arousal"": 0.49311111111111117, ""dominance"": 0.7424444444444444}, {""valence"": 0.5773333333333334, ""arousal"": 0.5496666666666666, ""dominance"": 0.49466666666666664}, {""valence"": 0.2655, ""arousal"": 0.579, ""dominance"": 0.308}, {""valence"": 0.8577777777777778, ""arousal"": 0.5346666666666667, ""dominance"": 0.7124444444444444}, {""valence"": 0.0, ""arousal"": 0.678, ""dominance"": 0.294}]"
7,2020-01-01 02:08:26+00:00,"{""valence"": 0.6093125258799174, ""arousal"": 0.4580146307798482, ""dominance"": 0.5068906832298136, ""emotion"": [0.03881987577639751, 0.03881987577639751, 0.0751207729468599, 0.08743961352657005, 0.03043478260869565, 0.02795031055900621, 0.04492753623188405, 0.0]}","[{""valence"": 0.19375, ""arousal"": 0.82875, ""dominance"": 0.50525}, {""valence"": 0.25875000000000004, ""arousal"": 0.7175, ""dominance"": 0.4795}, {""valence"": 0.757, ""arousal"": 0.4616666666666666, ""dominance"": 0.5308333333333334}, {""valence"": 0.6859999999999999, ""arousal"": 0.4946, ""dominance"": 0.5816}, {""valence"": 0.48566666666666664, ""arousal"": 0.47766666666666663, ""dominance"": 0.46599999999999997}, {""valence"": 0.225, ""arousal"": 0.636, ""dominance"": 0.39499999999999996}, {""valence"": 0.8716666666666667, ""arousal"": 0.5863333333333333, ""dominance"": 0.5820000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
8,2020-01-17 21:00:18+00:00,"{""valence"": 0.6225998015873015, ""arousal"": 0.49225423280423275, ""dominance"": 0.5528697751322751, ""emotion"": [0.08201058201058202, 0.11574074074074076, 0.08564814814814815, 0.0800925925925926, 0.027777777777777776, 0.025462962962962958, 0.06117724867724867, 0.0]}","[{""valence"": 0.22500000000000003, ""arousal"": 0.688, ""dominance"": 0.47375}, {""valence"": 0.322125, ""arousal"": 0.543, ""dominance"": 0.331625}, {""valence"": 0.7048749999999999, ""arousal"": 0.46662499999999996, ""dominance"": 0.560125}, {""valence"": 0.723375, ""arousal"": 0.48350000000000004, ""dominance"": 0.66875}, {""valence"": 0.96, ""arousal"": 0.81, ""dominance"": 0.886}, {""valence"": 0.11233333333333334, ""arousal"": 0.5756666666666667, ""dominance"": 0.3076666666666667}, {""valence"": 0.9033999999999999, ""arousal"": 0.5972000000000001, ""dominance"": 0.7026000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
9,2020-01-27 20:18:24+00:00,"{""valence"": 0.6325780812324929, ""arousal"": 0.4652500700280112, ""dominance"": 0.5176709383753502, ""emotion"": [0.023109243697478993, 0.08088235294117647, 0.12079831932773108, 0.06197478991596639, 0.1084033613445378, 0.07352941176470588, 0.11680672268907563, 0.0]}","[{""valence"": 0.5, ""arousal"": 0.7255, ""dominance"": 0.574}, {""valence"": 0.233, ""arousal"": 0.6513333333333333, ""dominance"": 0.37966666666666665}, {""valence"": 0.7021428571428572, ""arousal"": 0.45614285714285724, ""dominance"": 0.616}, {""valence"": 0.7742, ""arousal"": 0.5986, ""dominance"": 0.7382}, {""valence"": 0.7844, ""arousal"": 0.572, ""dominance"": 0.6512}, {""valence"": 0.084, ""arousal"": 0.804, ""dominance"": 0.358}, {""valence"": 0.9114999999999999, ""arousal"": 0.5773333333333334, ""dominance"": 0.7103333333333334}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
