Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2022-10-18 17:05:00+00:00,"{""valence"": 0.5796790674603175, ""arousal"": 0.501351884920635, ""dominance"": 0.551240873015873, ""emotion"": [0.022321428571428572, 0.0496031746031746, 0.05357142857142857, 0.046031746031746035, 0.013888888888888888, 0.06696428571428571, 0.025793650793650796, 0.03214285714285714]}","[{""valence"": 0.1945, ""arousal"": 0.5385, ""dominance"": 0.2605}, {""valence"": 0.295, ""arousal"": 0.621, ""dominance"": 0.45275}, {""valence"": 0.68575, ""arousal"": 0.54025, ""dominance"": 0.5800000000000001}, {""valence"": 0.708, ""arousal"": 0.43499999999999994, ""dominance"": 0.6832499999999999}, {""valence"": 0.719, ""arousal"": 0.599, ""dominance"": 0.543}, {""valence"": 0.202, ""arousal"": 0.5236, ""dominance"": 0.2872}, {""valence"": 0.7729999999999999, ""arousal"": 0.3845, ""dominance"": 0.5215000000000001}, {""valence"": 0.36833333333333335, ""arousal"": 0.435, ""dominance"": 0.5656666666666667}]"
1,2022-10-19 17:44:02+00:00,"{""valence"": 0.5985188492063492, ""arousal"": 0.4894251984126984, ""dominance"": 0.6026692460317459, ""emotion"": [0.04702380952380952, 0.03809523809523809, 0.047619047619047616, 0.0873015873015873, 0.040674603174603176, 0.049999999999999996, 0.08432539682539682, 0.0]}","[{""valence"": 0.318, ""arousal"": 0.48625, ""dominance"": 0.4875}, {""valence"": 0.25100000000000006, ""arousal"": 0.6496666666666667, ""dominance"": 0.511}, {""valence"": 0.86975, ""arousal"": 0.64175, ""dominance"": 0.7072499999999999}, {""valence"": 0.7725555555555554, ""arousal"": 0.4853333333333333, ""dominance"": 0.7037777777777777}, {""valence"": 0.58575, ""arousal"": 0.7419999999999999, ""dominance"": 0.5277499999999999}, {""valence"": 0.24275000000000002, ""arousal"": 0.40525, ""dominance"": 0.24425}, {""valence"": 0.7198749999999999, ""arousal"": 0.6455000000000001, ""dominance"": 0.6195000000000002}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
2,2022-10-20 21:04:39+00:00,"{""valence"": 0.5748106878306878, ""arousal"": 0.43175330687830693, ""dominance"": 0.5135652116402115, ""emotion"": [0.0, 0.008333333333333333, 0.017857142857142856, 0.05841269841269841, 0.0, 0.08145502645502645, 0.027777777777777776, 0.009523809523809523]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.669, ""arousal"": 0.49, ""dominance"": 0.595}, {""valence"": 0.6905, ""arousal"": 0.5569999999999999, ""dominance"": 0.737}, {""valence"": 0.5593999999999999, ""arousal"": 0.4109999999999999, ""dominance"": 0.6692}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.2467142857142857, ""arousal"": 0.48985714285714277, ""dominance"": 0.30814285714285716}, {""valence"": 1.0, ""arousal"": 0.519, ""dominance"": 0.673}, {""valence"": 0.449, ""arousal"": 0.444, ""dominance"": 0.857}]"
3,2022-10-21 22:45:01+00:00,"{""valence"": 0.5985955128205128, ""arousal"": 0.47438525641025636, ""dominance"": 0.5972570512820513, ""emotion"": [0.02307692307692308, 0.05512820512820513, 0.03461538461538462, 0.0858974358974359, 0.04551282051282051, 0.07692307692307693, 0.02820512820512821, 0.009615384615384616]}","[{""valence"": 0.203, ""arousal"": 0.769, ""dominance"": 0.424}, {""valence"": 0.2556, ""arousal"": 0.7158, ""dominance"": 0.48460000000000003}, {""valence"": 0.758, ""arousal"": 0.374, ""dominance"": 0.511}, {""valence"": 0.7251428571428571, ""arousal"": 0.37214285714285716, ""dominance"": 0.7402857142857143}, {""valence"": 0.4145, ""arousal"": 0.6395, ""dominance"": 0.64625}, {""valence"": 0.3158571428571429, ""arousal"": 0.4701428571428571, ""dominance"": 0.431}, {""valence"": 0.8694999999999999, ""arousal"": 0.315, ""dominance"": 0.4565}, {""valence"": 0.459, ""arousal"": 0.343, ""dominance"": 0.712}]"
4,2022-10-24 00:00:04+00:00,"{""valence"": 0.6046815806878307, ""arousal"": 0.4403684523809524, ""dominance"": 0.5530310515873015, ""emotion"": [0.036210317460317464, 0.036210317460317464, 0.027083333333333334, 0.051388888888888894, 0.016666666666666666, 0.07602513227513226, 0.016666666666666666, 0.020833333333333332]}","[{""valence"": 0.21033333333333334, ""arousal"": 0.49300000000000005, ""dominance"": 0.414}, {""valence"": 0.221, ""arousal"": 0.5156666666666667, ""dominance"": 0.5159999999999999}, {""valence"": 0.792, ""arousal"": 0.454, ""dominance"": 0.6335}, {""valence"": 0.7555000000000001, ""arousal"": 0.40525, ""dominance"": 0.72075}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.25166666666666665, ""arousal"": 0.5015, ""dominance"": 0.42416666666666664}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.454, ""arousal"": 0.3935, ""dominance"": 0.7845}]"
5,2022-10-25 15:34:51+00:00,"{""valence"": 0.5884738095238096, ""arousal"": 0.46506632653061225, ""dominance"": 0.5442091836734693, ""emotion"": [0.08231292517006802, 0.11326530612244898, 0.04081632653061224, 0.12993197278911564, 0.055442176870748296, 0.06904761904761905, 0.027551020408163263, 0.047619047619047616]}","[{""valence"": 0.236, ""arousal"": 0.779, ""dominance"": 0.5412}, {""valence"": 0.3164285714285714, ""arousal"": 0.7942857142857144, ""dominance"": 0.5445714285714286}, {""valence"": 0.649, ""arousal"": 0.613, ""dominance"": 0.63925}, {""valence"": 0.69, ""arousal"": 0.4342222222222222, ""dominance"": 0.6848888888888888}, {""valence"": 0.5205, ""arousal"": 0.59525, ""dominance"": 0.45025}, {""valence"": 0.1685, ""arousal"": 0.5715, ""dominance"": 0.391}, {""valence"": 0.8976666666666667, ""arousal"": 0.6283333333333333, ""dominance"": 0.6576666666666667}, {""valence"": 0.28700000000000003, ""arousal"": 0.41600000000000004, ""dominance"": 0.4965}]"
6,2022-10-26 21:27:27+00:00,"{""valence"": 0.589390934065934, ""arousal"": 0.45894954212454214, ""dominance"": 0.5706826007326008, ""emotion"": [0.08653846153846154, 0.06538461538461539, 0.06868131868131867, 0.1295787545787546, 0.038461538461538464, 0.04807692307692308, 0.04807692307692308, 0.028846153846153848]}","[{""valence"": 0.4386666666666666, ""arousal"": 0.5493333333333333, ""dominance"": 0.5388333333333334}, {""valence"": 0.24020000000000002, ""arousal"": 0.6584000000000001, ""dominance"": 0.4378}, {""valence"": 0.7531666666666667, ""arousal"": 0.48449999999999993, ""dominance"": 0.6626666666666667}, {""valence"": 0.7114444444444444, ""arousal"": 0.44811111111111107, ""dominance"": 0.689888888888889}, {""valence"": 0.7443333333333334, ""arousal"": 0.4416666666666666, ""dominance"": 0.604}, {""valence"": 0.171, ""arousal"": 0.526, ""dominance"": 0.32266666666666666}, {""valence"": 0.77825, ""arousal"": 0.4917499999999999, ""dominance"": 0.67225}, {""valence"": 0.519, ""arousal"": 0.258, ""dominance"": 0.4075}]"
7,2022-10-27 21:45:00+00:00,"{""valence"": 0.5904343537414967, ""arousal"": 0.4749581632653062, ""dominance"": 0.5889034863945578, ""emotion"": [0.0365079365079365, 0.06150793650793651, 0.0992063492063492, 0.04265873015873016, 0.007936507936507936, 0.039087301587301594, 0.03698979591836734, 0.014285714285714287]}","[{""valence"": 0.2233333333333333, ""arousal"": 0.7303333333333333, ""dominance"": 0.3826666666666667}, {""valence"": 0.30774999999999997, ""arousal"": 0.6795, ""dominance"": 0.4295}, {""valence"": 0.694375, ""arousal"": 0.526125, ""dominance"": 0.6825}, {""valence"": 0.7738, ""arousal"": 0.6038, ""dominance"": 0.7638}, {""valence"": 0.64, ""arousal"": 0.716, ""dominance"": 0.898}, {""valence"": 0.255, ""arousal"": 0.4325, ""dominance"": 0.379}, {""valence"": 0.88625, ""arousal"": 0.6022500000000001, ""dominance"": 0.742}, {""valence"": 0.173, ""arousal"": 0.472, ""dominance"": 0.19}]"
8,2022-10-28 21:00:00+00:00,"{""valence"": 0.5328836080586081, ""arousal"": 0.44401373626373625, ""dominance"": 0.5159131868131868, ""emotion"": [0.0, 0.058424908424908426, 0.07765567765567766, 0.11749084249084249, 0.009615384615384616, 0.07948717948717948, 0.06227106227106227, 0.010989010989010988]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.37240000000000006, ""arousal"": 0.6140000000000001, ""dominance"": 0.49640000000000006}, {""valence"": 0.5596666666666668, ""arousal"": 0.5563333333333333, ""dominance"": 0.5835}, {""valence"": 0.5487500000000001, ""arousal"": 0.52175, ""dominance"": 0.6854999999999999}, {""valence"": 0.771, ""arousal"": 0.64, ""dominance"": 0.71}, {""valence"": 0.23840000000000003, ""arousal"": 0.5316, ""dominance"": 0.23399999999999999}, {""valence"": 0.5654, ""arousal"": 0.5984, ""dominance"": 0.6156}, {""valence"": 0.449, ""arousal"": 0.444, ""dominance"": 0.857}]"
9,2022-10-30 17:35:00+00:00,"{""valence"": 0.5564392361111112, ""arousal"": 0.4826627480158731, ""dominance"": 0.5316590773809523, ""emotion"": [0.0, 0.034523809523809526, 0.0992063492063492, 0.13531746031746034, 0.0, 0.048958333333333326, 0.08958333333333333, 0.010416666666666666]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.167, ""arousal"": 0.79125, ""dominance"": 0.52125}, {""valence"": 0.7274, ""arousal"": 0.5117999999999999, ""dominance"": 0.6144000000000001}, {""valence"": 0.7135555555555554, ""arousal"": 0.5794444444444444, ""dominance"": 0.7331111111111112}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.202, ""arousal"": 0.68275, ""dominance"": 0.236}, {""valence"": 0.76075, ""arousal"": 0.5775, ""dominance"": 0.64775}, {""valence"": 0.208, ""arousal"": 0.689, ""dominance"": 0.342}]"
