Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2010-02-22 18:12:50+00:00,"{""valence"": 0.5989437500000001, ""arousal"": 0.4195741666666667, ""dominance"": 0.46115625, ""emotion"": [0.016666666666666666, 0.035416666666666666, 0.06208333333333334, 0.09166666666666666, 0.01875, 0.01875, 0.01875, 0.0475]}","[{""valence"": 0.71, ""arousal"": 0.216, ""dominance"": 0.473}, {""valence"": 0.465, ""arousal"": 0.53725, ""dominance"": 0.5687499999999999}, {""valence"": 0.7294999999999999, ""arousal"": 0.3275, ""dominance"": 0.5655}, {""valence"": 0.6475, ""arousal"": 0.41500000000000004, ""dominance"": 0.5712499999999999}, {""valence"": 0.505, ""arousal"": 0.45299999999999996, ""dominance"": 0.34650000000000003}, {""valence"": 0.5365, ""arousal"": 0.533, ""dominance"": 0.6615}, {""valence"": 0.7055, ""arousal"": 0.244, ""dominance"": 0.4375}, {""valence"": 0.28025, ""arousal"": 0.62825, ""dominance"": 0.34875}]"
1,2010-03-03 04:52:44+00:00,"{""valence"": 0.6418724637681159, ""arousal"": 0.44675869565217396, ""dominance"": 0.5270934782608696, ""emotion"": [0.03188405797101449, 0.042753623188405795, 0.04782608695652174, 0.03188405797101449, 0.03913043478260869, 0.02318840579710145, 0.10724637681159421, 0.02536231884057971]}","[{""valence"": 0.28049999999999997, ""arousal"": 0.6505, ""dominance"": 0.524}, {""valence"": 0.28659999999999997, ""arousal"": 0.6242, ""dominance"": 0.4258}, {""valence"": 0.8881666666666667, ""arousal"": 0.7078333333333333, ""dominance"": 0.6956666666666668}, {""valence"": 0.849, ""arousal"": 0.597, ""dominance"": 0.6579999999999999}, {""valence"": 0.7564, ""arousal"": 0.48179999999999995, ""dominance"": 0.5227999999999999}, {""valence"": 0.09266666666666667, ""arousal"": 0.6646666666666666, ""dominance"": 0.423}, {""valence"": 0.8691111111111111, ""arousal"": 0.5900000000000001, ""dominance"": 0.631}, {""valence"": 0.14766666666666667, ""arousal"": 0.48666666666666664, ""dominance"": 0.2693333333333333}]"
2,2010-03-21 09:03:45+00:00,"{""valence"": 0.6051056022408964, ""arousal"": 0.42750056022408955, ""dominance"": 0.4685659663865547, ""emotion"": [0.023109243697478993, 0.014705882352941176, 0.1281512605042017, 0.0495798319327731, 0.031512605042016806, 0.0, 0.11680672268907562, 0.029411764705882353]}","[{""valence"": 0.2165, ""arousal"": 0.8554999999999999, ""dominance"": 0.5894999999999999}, {""valence"": 0.188, ""arousal"": 0.863, ""dominance"": 0.594}, {""valence"": 0.7700000000000001, ""arousal"": 0.4681428571428571, ""dominance"": 0.5084285714285715}, {""valence"": 0.7387499999999999, ""arousal"": 0.3215, ""dominance"": 0.5285000000000001}, {""valence"": 0.585, ""arousal"": 0.482, ""dominance"": 0.5313333333333333}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.8251666666666667, ""arousal"": 0.44849999999999995, ""dominance"": 0.5338333333333334}, {""valence"": 0.403, ""arousal"": 0.595, ""dominance"": 0.639}]"
3,2010-04-02 13:34:09+00:00,"{""valence"": 0.611525313283208, ""arousal"": 0.4298424812030075, ""dominance"": 0.4664917293233083, ""emotion"": [0.07631578947368421, 0.05701754385964912, 0.06503759398496241, 0.09348370927318295, 0.0855889724310777, 0.05263157894736842, 0.05664160401002506, 0.042606516290726815]}","[{""valence"": 0.2056, ""arousal"": 0.6944, ""dominance"": 0.35359999999999997}, {""valence"": 0.284, ""arousal"": 0.56575, ""dominance"": 0.37725}, {""valence"": 0.8195, ""arousal"": 0.3908333333333333, ""dominance"": 0.5011666666666666}, {""valence"": 0.84525, ""arousal"": 0.387, ""dominance"": 0.584875}, {""valence"": 0.5444285714285714, ""arousal"": 0.5681428571428571, ""dominance"": 0.42057142857142865}, {""valence"": 0.25966666666666666, ""arousal"": 0.5366666666666667, ""dominance"": 0.327}, {""valence"": 0.9174, ""arousal"": 0.4282, ""dominance"": 0.583}, {""valence"": 0.14966666666666664, ""arousal"": 0.5936666666666667, ""dominance"": 0.26299999999999996}]"
4,2010-04-10 00:48:48+00:00,"{""valence"": 0.6185917142857144, ""arousal"": 0.4460930476190477, ""dominance"": 0.5077301746031747, ""emotion"": [0.01, 0.021666666666666664, 0.05277777777777778, 0.04355555555555556, 0.0223015873015873, 0.026666666666666665, 0.04055555555555555, 0.02396825396825397]}","[{""valence"": 0.073, ""arousal"": 0.41, ""dominance"": 0.2}, {""valence"": 0.03566666666666666, ""arousal"": 0.6890000000000001, ""dominance"": 0.4406666666666667}, {""valence"": 0.777142857142857, ""arousal"": 0.5135714285714286, ""dominance"": 0.6107142857142858}, {""valence"": 0.798, ""arousal"": 0.47500000000000003, ""dominance"": 0.6350000000000001}, {""valence"": 0.7402500000000001, ""arousal"": 0.47025, ""dominance"": 0.5547500000000001}, {""valence"": 0.17225000000000001, ""arousal"": 0.5609999999999999, ""dominance"": 0.46775}, {""valence"": 0.832, ""arousal"": 0.5138333333333333, ""dominance"": 0.6008333333333334}, {""valence"": 0.349, ""arousal"": 0.48075, ""dominance"": 0.39075000000000004}]"
5,2010-04-23 17:56:05+00:00,"{""valence"": 0.616779365079365, ""arousal"": 0.4634502976190476, ""dominance"": 0.5123787698412697, ""emotion"": [0.08928571428571429, 0.03571428571428571, 0.04503968253968254, 0.0369047619047619, 0.046825396825396826, 0.05952380952380953, 0.024999999999999998, 0.04861111111111111]}","[{""valence"": 0.12624999999999997, ""arousal"": 0.7795000000000001, ""dominance"": 0.54925}, {""valence"": 0.073, ""arousal"": 0.93, ""dominance"": 0.812}, {""valence"": 0.7414000000000001, ""arousal"": 0.3902, ""dominance"": 0.6078}, {""valence"": 0.7765, ""arousal"": 0.33375, ""dominance"": 0.6325000000000001}, {""valence"": 0.5816666666666667, ""arousal"": 0.5306666666666667, ""dominance"": 0.5606666666666668}, {""valence"": 0.45566666666666666, ""arousal"": 0.5706666666666668, ""dominance"": 0.549}, {""valence"": 0.8963333333333333, ""arousal"": 0.27599999999999997, ""dominance"": 0.6383333333333333}, {""valence"": 0.311, ""arousal"": 0.5806666666666667, ""dominance"": 0.35733333333333334}]"
6,2010-05-04 03:03:54+00:00,"{""valence"": 0.6237994152046783, ""arousal"": 0.48416842105263147, ""dominance"": 0.5266441520467836, ""emotion"": [0.0456140350877193, 0.05087719298245614, 0.08830409356725145, 0.11549707602339182, 0.023391812865497075, 0.02982456140350877, 0.07602339181286548, 0.0324561403508772]}","[{""valence"": 0.13366666666666668, ""arousal"": 0.803, ""dominance"": 0.5393333333333333}, {""valence"": 0.2232, ""arousal"": 0.6336, ""dominance"": 0.3836}, {""valence"": 0.8237500000000001, ""arousal"": 0.48412499999999997, ""dominance"": 0.5796250000000001}, {""valence"": 0.8150000000000002, ""arousal"": 0.4698571428571428, ""dominance"": 0.5947142857142858}, {""valence"": 0.849, ""arousal"": 0.4635, ""dominance"": 0.6475}, {""valence"": 0.06566666666666666, ""arousal"": 0.7476666666666668, ""dominance"": 0.3993333333333333}, {""valence"": 0.8765, ""arousal"": 0.576, ""dominance"": 0.6388333333333334}, {""valence"": 0.19433333333333333, ""arousal"": 0.7206666666666668, ""dominance"": 0.45733333333333337}]"
7,2010-05-11 00:58:29+00:00,"{""valence"": 0.6305820494864612, ""arousal"": 0.4715514005602241, ""dominance"": 0.5184020308123249, ""emotion"": [0.06886087768440709, 0.029411764705882353, 0.0657563025210084, 0.11715686274509803, 0.038795518207282914, 0.03529411764705882, 0.048529411764705876, 0.04019607843137255]}","[{""valence"": 0.3981666666666667, ""arousal"": 0.6845, ""dominance"": 0.5273333333333334}, {""valence"": 0.30333333333333334, ""arousal"": 0.5656666666666667, ""dominance"": 0.48533333333333334}, {""valence"": 0.7234285714285714, ""arousal"": 0.4617142857142857, ""dominance"": 0.557}, {""valence"": 0.6543636363636364, ""arousal"": 0.4645454545454546, ""dominance"": 0.62}, {""valence"": 0.7147999999999999, ""arousal"": 0.40119999999999995, ""dominance"": 0.499}, {""valence"": 0.164, ""arousal"": 0.5389999999999999, ""dominance"": 0.2545}, {""valence"": 0.8491666666666665, ""arousal"": 0.5011666666666666, ""dominance"": 0.5903333333333333}, {""valence"": 0.22833333333333336, ""arousal"": 0.5123333333333333, ""dominance"": 0.27166666666666667}]"
8,2010-05-18 00:54:38+00:00,"{""valence"": 0.6518114583333333, ""arousal"": 0.4704447916666668, ""dominance"": 0.5221190972222224, ""emotion"": [0.03298611111111111, 0.06944444444444443, 0.18298611111111115, 0.09826388888888889, 0.12638888888888888, 0.0, 0.11909722222222223, 0.020833333333333332]}","[{""valence"": 0.5126666666666667, ""arousal"": 0.5786666666666668, ""dominance"": 0.5933333333333334}, {""valence"": 0.4286666666666667, ""arousal"": 0.6586666666666666, ""dominance"": 0.4796666666666667}, {""valence"": 0.7789999999999999, ""arousal"": 0.47466666666666674, ""dominance"": 0.55725}, {""valence"": 0.861625, ""arousal"": 0.479375, ""dominance"": 0.5982500000000001}, {""valence"": 0.7928333333333333, ""arousal"": 0.5163333333333333, ""dominance"": 0.5341666666666667}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.864, ""arousal"": 0.5193333333333334, ""dominance"": 0.5763333333333334}, {""valence"": 0.562, ""arousal"": 0.346, ""dominance"": 0.382}]"
9,2010-06-02 03:06:21+00:00,"{""valence"": 0.558571111111111, ""arousal"": 0.47753666666666666, ""dominance"": 0.481315, ""emotion"": [0.020000000000000004, 0.045000000000000005, 0.125, 0.06055555555555556, 0.027777777777777776, 0.04111111111111111, 0.08055555555555556, 0.016666666666666666]}","[{""valence"": 0.20299999999999999, ""arousal"": 0.7265, ""dominance"": 0.4425}, {""valence"": 0.18819999999999998, ""arousal"": 0.652, ""dominance"": 0.33199999999999996}, {""valence"": 0.8272, ""arousal"": 0.4993, ""dominance"": 0.6733}, {""valence"": 0.8660000000000001, ""arousal"": 0.4395, ""dominance"": 0.6633333333333332}, {""valence"": 0.927, ""arousal"": 0.317, ""dominance"": 0.739}, {""valence"": 0.25375, ""arousal"": 0.6695, ""dominance"": 0.33999999999999997}, {""valence"": 0.8683750000000001, ""arousal"": 0.51725, ""dominance"": 0.663375}, {""valence"": 0.2, ""arousal"": 0.5945, ""dominance"": 0.21600000000000003}]"
