Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2016-04-11 20:54:46+00:00,"{""valence"": 0.5962884559884561, ""arousal"": 0.4551755050505051, ""dominance"": 0.5166394660894661, ""emotion"": [0.06583694083694083, 0.06583694083694083, 0.02976190476190476, 0.04956709956709957, 0.017857142857142856, 0.091991341991342, 0.04956709956709957, 0.06385281385281386]}","[{""valence"": 0.1875, ""arousal"": 0.77525, ""dominance"": 0.5575}, {""valence"": 0.1875, ""arousal"": 0.77525, ""dominance"": 0.5575}, {""valence"": 0.8727499999999999, ""arousal"": 0.58475, ""dominance"": 0.5900000000000001}, {""valence"": 0.862142857142857, ""arousal"": 0.5211428571428571, ""dominance"": 0.6438571428571428}, {""valence"": 0.6565, ""arousal"": 0.3415, ""dominance"": 0.4145}, {""valence"": 0.3383999999999999, ""arousal"": 0.5237999999999999, ""dominance"": 0.37860000000000005}, {""valence"": 0.8754285714285713, ""arousal"": 0.5172857142857142, ""dominance"": 0.613857142857143}, {""valence"": 0.13133333333333333, ""arousal"": 0.6396666666666667, ""dominance"": 0.40199999999999997}]"
1,2016-04-18 18:18:55+00:00,"{""valence"": 0.5749515151515151, ""arousal"": 0.4754088772338773, ""dominance"": 0.5029450854700854, ""emotion"": [0.11853146853146852, 0.0656954156954157, 0.2505827505827506, 0.145979020979021, 0.08547008547008547, 0.18632478632478636, 0.15122377622377622, 0.05384615384615384]}","[{""valence"": 0.2475, ""arousal"": 0.75125, ""dominance"": 0.492}, {""valence"": 0.4121666666666666, ""arousal"": 0.7006666666666668, ""dominance"": 0.6135}, {""valence"": 0.7489999999999999, ""arousal"": 0.4485714285714285, ""dominance"": 0.6424285714285715}, {""valence"": 0.7424285714285714, ""arousal"": 0.45928571428571424, ""dominance"": 0.7285714285714285}, {""valence"": 0.521, ""arousal"": 0.682, ""dominance"": 0.5385}, {""valence"": 0.3238, ""arousal"": 0.7208, ""dominance"": 0.39879999999999993}, {""valence"": 0.8891666666666665, ""arousal"": 0.45049999999999996, ""dominance"": 0.6518333333333334}, {""valence"": 0.07133333333333333, ""arousal"": 0.6416666666666667, ""dominance"": 0.26699999999999996}]"
2,2016-04-21 16:19:48+00:00,"{""valence"": 0.6694722222222222, ""arousal"": 0.47732916666666664, ""dominance"": 0.5389143518518518, ""emotion"": [0.0, 0.018518518518518517, 0.1337962962962963, 0.11712962962962964, 0.027777777777777776, 0.006944444444444444, 0.11990740740740741, 0.0]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.758, ""arousal"": 0.518, ""dominance"": 0.886}, {""valence"": 0.658, ""arousal"": 0.43457142857142855, ""dominance"": 0.5865714285714286}, {""valence"": 0.7928571428571428, ""arousal"": 0.549142857142857, ""dominance"": 0.6811428571428572}, {""valence"": 0.4415, ""arousal"": 0.806, ""dominance"": 0.5695}, {""valence"": 0.199, ""arousal"": 0.663, ""dominance"": 0.148}, {""valence"": 0.8099999999999999, ""arousal"": 0.568, ""dominance"": 0.6411666666666668}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
3,2016-05-01 00:56:53+00:00,"{""valence"": 0.6804395061728393, ""arousal"": 0.44886249999999994, ""dominance"": 0.5514125000000001, ""emotion"": [0.04814814814814814, 0.03888888888888889, 0.006172839506172839, 0.1111111111111111, 0.013888888888888888, 0.025, 0.08873456790123457, 0.025]}","[{""valence"": 0.095, ""arousal"": 0.7242500000000001, ""dominance"": 0.392}, {""valence"": 0.09566666666666666, ""arousal"": 0.6996666666666668, ""dominance"": 0.3476666666666666}, {""valence"": 0.604, ""arousal"": 0.288, ""dominance"": 0.609}, {""valence"": 0.8142857142857143, ""arousal"": 0.4257142857142857, ""dominance"": 0.6678571428571428}, {""valence"": 0.64, ""arousal"": 0.716, ""dominance"": 0.898}, {""valence"": 0.08349999999999999, ""arousal"": 0.625, ""dominance"": 0.306}, {""valence"": 0.828, ""arousal"": 0.41314285714285715, ""dominance"": 0.5537142857142857}, {""valence"": 0.08349999999999999, ""arousal"": 0.625, ""dominance"": 0.306}]"
4,2016-05-13 17:31:04+00:00,"{""valence"": 0.5753964285714286, ""arousal"": 0.49198928571428574, ""dominance"": 0.5094636904761904, ""emotion"": [0.011904761904761904, 0.047619047619047616, 0.11547619047619048, 0.10059523809523808, 0.05178571428571428, 0.023809523809523808, 0.0732142857142857, 0.011904761904761904]}","[{""valence"": 0.806, ""arousal"": 0.329, ""dominance"": 0.531}, {""valence"": 0.593, ""arousal"": 0.5665, ""dominance"": 0.583}, {""valence"": 0.7378888888888889, ""arousal"": 0.4554444444444445, ""dominance"": 0.6220000000000001}, {""valence"": 0.78975, ""arousal"": 0.531, ""dominance"": 0.6211249999999999}, {""valence"": 0.89475, ""arousal"": 0.60175, ""dominance"": 0.6072500000000001}, {""valence"": 0.5255000000000001, ""arousal"": 0.3435, ""dominance"": 0.42300000000000004}, {""valence"": 0.9148333333333332, ""arousal"": 0.5341666666666667, ""dominance"": 0.633}, {""valence"": 0.806, ""arousal"": 0.329, ""dominance"": 0.531}]"
5,2016-05-22 04:31:32+00:00,"{""valence"": 0.6220087301587303, ""arousal"": 0.47919999999999985, ""dominance"": 0.527723015873016, ""emotion"": [0.05026455026455027, 0.07208994708994709, 0.05846560846560847, 0.07539682539682539, 0.03306878306878307, 0.09589947089947091, 0.03902116402116402, 0.018518518518518517]}","[{""valence"": 0.157, ""arousal"": 0.8091999999999999, ""dominance"": 0.47219999999999995}, {""valence"": 0.16057142857142856, ""arousal"": 0.8171428571428573, ""dominance"": 0.444}, {""valence"": 0.7618333333333333, ""arousal"": 0.5948333333333333, ""dominance"": 0.6126666666666667}, {""valence"": 0.86625, ""arousal"": 0.4925, ""dominance"": 0.75775}, {""valence"": 0.784, ""arousal"": 0.6539999999999999, ""dominance"": 0.5882499999999999}, {""valence"": 0.24475000000000002, ""arousal"": 0.717625, ""dominance"": 0.460125}, {""valence"": 0.9468, ""arousal"": 0.5603999999999999, ""dominance"": 0.6836}, {""valence"": 0.10900000000000003, ""arousal"": 0.82, ""dominance"": 0.44599999999999995}]"
6,2016-06-03 20:47:22+00:00,"{""valence"": 0.6607291383219954, ""arousal"": 0.4450141723356009, ""dominance"": 0.5404924036281178, ""emotion"": [0.03333333333333333, 0.0401360544217687, 0.051247165532879814, 0.08378684807256236, 0.015873015873015872, 0.03061224489795918, 0.07460317460317459, 0.0]}","[{""valence"": 0.383, ""arousal"": 0.618, ""dominance"": 0.467}, {""valence"": 0.3526666666666667, ""arousal"": 0.6446666666666666, ""dominance"": 0.428}, {""valence"": 0.6888000000000001, ""arousal"": 0.4364, ""dominance"": 0.6574}, {""valence"": 0.8165, ""arousal"": 0.4068333333333333, ""dominance"": 0.6495000000000001}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.20299999999999999, ""arousal"": 0.618, ""dominance"": 0.241}, {""valence"": 0.9212, ""arousal"": 0.4284, ""dominance"": 0.6255999999999999}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
7,2016-06-11 16:58:06+00:00,"{""valence"": 0.5879636551853943, ""arousal"": 0.5004982495765105, ""dominance"": 0.5191918972332015, ""emotion"": [0.045256916996047426, 0.07786561264822134, 0.07972896668548843, 0.11233766233766233, 0.008695652173913044, 0.0691699604743083, 0.06885940146809712, 0.03043478260869565]}","[{""valence"": 0.29274999999999995, ""arousal"": 0.74675, ""dominance"": 0.39625000000000005}, {""valence"": 0.39366666666666666, ""arousal"": 0.713, ""dominance"": 0.5730000000000001}, {""valence"": 0.844875, ""arousal"": 0.5725, ""dominance"": 0.6875}, {""valence"": 0.83825, ""arousal"": 0.58375, ""dominance"": 0.66}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.3383333333333334, ""arousal"": 0.6136666666666667, ""dominance"": 0.3453333333333333}, {""valence"": 0.8792857142857143, ""arousal"": 0.6131428571428571, ""dominance"": 0.6987142857142857}, {""valence"": 0.3645, ""arousal"": 0.6965, ""dominance"": 0.3035}]"
8,2016-06-20 06:06:29+00:00,"{""valence"": 0.6196469576719578, ""arousal"": 0.46658730158730155, ""dominance"": 0.5038537037037037, ""emotion"": [0.0, 0.011111111111111112, 0.13201058201058202, 0.12698412698412698, 0.09126984126984126, 0.025, 0.12367724867724868, 0.018518518518518517]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.367, ""arousal"": 0.765, ""dominance"": 0.448}, {""valence"": 0.7324285714285715, ""arousal"": 0.6534285714285716, ""dominance"": 0.6214285714285716}, {""valence"": 0.8605, ""arousal"": 0.6230000000000001, ""dominance"": 0.7861666666666666}, {""valence"": 0.9249999999999999, ""arousal"": 0.6846666666666668, ""dominance"": 0.7763333333333332}, {""valence"": 0.4235, ""arousal"": 0.654, ""dominance"": 0.34600000000000003}, {""valence"": 0.8904, ""arousal"": 0.5974, ""dominance"": 0.659}, {""valence"": 0.086, ""arousal"": 0.567, ""dominance"": 0.113}]"
9,2016-06-25 07:42:12+00:00,"{""valence"": 0.6237943722943723, ""arousal"": 0.4163658008658008, ""dominance"": 0.5029830447330448, ""emotion"": [0.008297258297258296, 0.031024531024531024, 0.11562049062049064, 0.1388888888888889, 0.05375180375180375, 0.008297258297258296, 0.1047979797979798, 0.008297258297258296]}","[{""valence"": 0.6425000000000001, ""arousal"": 0.263, ""dominance"": 0.4165}, {""valence"": 0.4160000000000001, ""arousal"": 0.5876666666666667, ""dominance"": 0.3183333333333333}, {""valence"": 0.6751428571428572, ""arousal"": 0.501142857142857, ""dominance"": 0.5242857142857142}, {""valence"": 0.7227142857142858, ""arousal"": 0.42957142857142855, ""dominance"": 0.5762857142857143}, {""valence"": 0.7607499999999999, ""arousal"": 0.346, ""dominance"": 0.5045}, {""valence"": 0.43, ""arousal"": 0.592, ""dominance"": 0.329}, {""valence"": 0.8728571428571429, ""arousal"": 0.45042857142857146, ""dominance"": 0.599857142857143}, {""valence"": 0.465, ""arousal"": 0.389, ""dominance"": 0.42200000000000004}]"
