Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2022-02-05 05:59:48+00:00,"{""valence"": 0.5708431372549019, ""arousal"": 0.5125731792717088, ""dominance"": 0.5634023109243697, ""emotion"": [0.034313725490196074, 0.034313725490196074, 0.06372549019607843, 0.13830532212885155, 0.0392156862745098, 0.041666666666666664, 0.05637254901960784, 0.058823529411764705]}","[{""valence"": 0.12066666666666666, ""arousal"": 0.7543333333333333, ""dominance"": 0.38499999999999995}, {""valence"": 0.12066666666666666, ""arousal"": 0.7543333333333333, ""dominance"": 0.38499999999999995}, {""valence"": 0.82, ""arousal"": 0.49966666666666665, ""dominance"": 0.6033333333333334}, {""valence"": 0.743, ""arousal"": 0.4395714285714285, ""dominance"": 0.5855714285714286}, {""valence"": 0.5409999999999999, ""arousal"": 0.5589999999999999, ""dominance"": 0.5515}, {""valence"": 0.18666666666666668, ""arousal"": 0.6913333333333332, ""dominance"": 0.4746666666666666}, {""valence"": 0.85975, ""arousal"": 0.50425, ""dominance"": 0.6045}, {""valence"": 0.082, ""arousal"": 0.673, ""dominance"": 0.306}]"
1,2022-02-07 23:16:03+00:00,"{""valence"": 0.5889051120448178, ""arousal"": 0.4457293417366947, ""dominance"": 0.5580252100840336, ""emotion"": [0.017156862745098037, 0.008403361344537815, 0.14285714285714285, 0.11274509803921567, 0.029411764705882353, 0.0819327731092437, 0.08823529411764706, 0.007352941176470588]}","[{""valence"": 0.11199999999999999, ""arousal"": 0.8795, ""dominance"": 0.6085}, {""valence"": 0.235, ""arousal"": 0.7, ""dominance"": 0.508}, {""valence"": 0.7366666666666667, ""arousal"": 0.4768333333333333, ""dominance"": 0.5833333333333334}, {""valence"": 0.79975, ""arousal"": 0.42100000000000004, ""dominance"": 0.5847500000000001}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.074, ""arousal"": 0.4303333333333333, ""dominance"": 0.22599999999999998}, {""valence"": 0.9065, ""arousal"": 0.442, ""dominance"": 0.5475000000000001}, {""valence"": 0.122, ""arousal"": 0.83, ""dominance"": 0.604}]"
2,2022-02-11 00:19:06+00:00,"{""valence"": 0.6123774831649832, ""arousal"": 0.49577723063973056, ""dominance"": 0.5698819023569023, ""emotion"": [0.023569023569023566, 0.04351851851851852, 0.09486531986531986, 0.1111111111111111, 0.05134680134680134, 0.04398148148148148, 0.0787037037037037, 0.02546296296296296]}","[{""valence"": 0.373, ""arousal"": 0.858, ""dominance"": 0.6035}, {""valence"": 0.357, ""arousal"": 0.6693333333333333, ""dominance"": 0.5619999999999999}, {""valence"": 0.7976666666666666, ""arousal"": 0.7326666666666665, ""dominance"": 0.6055}, {""valence"": 0.70375, ""arousal"": 0.49987499999999996, ""dominance"": 0.699875}, {""valence"": 0.5273333333333333, ""arousal"": 0.7243333333333334, ""dominance"": 0.52}, {""valence"": 0.26175, ""arousal"": 0.63375, ""dominance"": 0.475}, {""valence"": 0.90925, ""arousal"": 0.6955, ""dominance"": 0.6852499999999999}, {""valence"": 0.2495, ""arousal"": 0.7675000000000001, ""dominance"": 0.476}]"
3,2022-02-13 11:58:48+00:00,"{""valence"": 0.6431110476190476, ""arousal"": 0.48476199999999997, ""dominance"": 0.5935394285714285, ""emotion"": [0.02, 0.03333333333333333, 0.09022222222222222, 0.07482539682539682, 0.017777777777777778, 0.03333333333333333, 0.049111111111111105, 0.018000000000000002]}","[{""valence"": 0.0465, ""arousal"": 0.651, ""dominance"": 0.3615}, {""valence"": 0.034999999999999996, ""arousal"": 0.6890000000000001, ""dominance"": 0.37266666666666665}, {""valence"": 0.6991428571428572, ""arousal"": 0.39914285714285713, ""dominance"": 0.599}, {""valence"": 0.703, ""arousal"": 0.40924999999999995, ""dominance"": 0.635}, {""valence"": 0.944, ""arousal"": 0.5800000000000001, ""dominance"": 0.6615}, {""valence"": 0.034999999999999996, ""arousal"": 0.6890000000000001, ""dominance"": 0.37266666666666665}, {""valence"": 0.8846, ""arousal"": 0.5012000000000001, ""dominance"": 0.6930000000000001}, {""valence"": 0.2535, ""arousal"": 0.5875, ""dominance"": 0.47850000000000004}]"
4,2022-02-18 08:07:26+00:00,"{""valence"": 0.6217260416666667, ""arousal"": 0.49105104166666674, ""dominance"": 0.5664322916666666, ""emotion"": [0.0, 0.0, 0.18437499999999998, 0.125, 0.046875, 0.0, 0.15104166666666666, 0.0625]}","[{""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.6731250000000001, ""arousal"": 0.533875, ""dominance"": 0.581}, {""valence"": 0.6805000000000001, ""arousal"": 0.462, ""dominance"": 0.583}, {""valence"": 0.7455, ""arousal"": 0.5235, ""dominance"": 0.6725000000000001}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.7802, ""arousal"": 0.5713999999999999, ""dominance"": 0.6420000000000001}, {""valence"": 0.048, ""arousal"": 0.74, ""dominance"": 0.415}]"
5,2022-02-21 06:46:33+00:00,"{""valence"": 0.6131027777777777, ""arousal"": 0.4458333333333333, ""dominance"": 0.5597866666666667, ""emotion"": [0.020833333333333332, 0.06833333333333333, 0.13499999999999998, 0.13916666666666666, 0.04583333333333333, 0.030833333333333334, 0.07666666666666666, 0.008333333333333333]}","[{""valence"": 0.125, ""arousal"": 0.8574999999999999, ""dominance"": 0.5525}, {""valence"": 0.3364, ""arousal"": 0.7052, ""dominance"": 0.5000000000000001}, {""valence"": 0.7492222222222221, ""arousal"": 0.5703333333333334, ""dominance"": 0.56}, {""valence"": 0.780857142857143, ""arousal"": 0.5428571428571429, ""dominance"": 0.5925714285714286}, {""valence"": 0.6333333333333333, ""arousal"": 0.656, ""dominance"": 0.5136666666666666}, {""valence"": 0.23399999999999999, ""arousal"": 0.5423333333333332, ""dominance"": 0.41}, {""valence"": 0.8140000000000001, ""arousal"": 0.5753999999999999, ""dominance"": 0.5584}, {""valence"": 0.115, ""arousal"": 0.85, ""dominance"": 0.438}]"
6,2022-02-22 11:35:50+00:00,"{""valence"": 0.6213991228070175, ""arousal"": 0.4617807017543859, ""dominance"": 0.549059649122807, ""emotion"": [0.02631578947368421, 0.03947368421052631, 0.02368421052631579, 0.049999999999999996, 0.013157894736842105, 0.021929824561403508, 0.07894736842105263, 0.017543859649122806]}","[{""valence"": 0.323, ""arousal"": 0.875, ""dominance"": 0.637}, {""valence"": 0.46166666666666667, ""arousal"": 0.5283333333333333, ""dominance"": 0.555}, {""valence"": 0.753, ""arousal"": 0.477, ""dominance"": 0.692}, {""valence"": 0.6997500000000001, ""arousal"": 0.413, ""dominance"": 0.7507499999999999}, {""valence"": 0.812, ""arousal"": 0.36, ""dominance"": 0.603}, {""valence"": 0.6195, ""arousal"": 0.3175, ""dominance"": 0.522}, {""valence"": 0.8540000000000001, ""arousal"": 0.5293333333333333, ""dominance"": 0.633}, {""valence"": 0.0835, ""arousal"": 0.856, ""dominance"": 0.507}]"
7,2022-02-23 18:39:40+00:00,"{""valence"": 0.6318842592592592, ""arousal"": 0.4521554232804232, ""dominance"": 0.5563891534391535, ""emotion"": [0.03571428571428571, 0.07738095238095238, 0.1212962962962963, 0.09351851851851851, 0.03333333333333333, 0.0496031746031746, 0.07037037037037036, 0.007936507936507936]}","[{""valence"": 0.22833333333333336, ""arousal"": 0.7443333333333332, ""dominance"": 0.4953333333333334}, {""valence"": 0.32860000000000006, ""arousal"": 0.5708, ""dominance"": 0.47000000000000003}, {""valence"": 0.7909999999999999, ""arousal"": 0.5498750000000001, ""dominance"": 0.63725}, {""valence"": 0.7868333333333332, ""arousal"": 0.4846666666666666, ""dominance"": 0.6803333333333333}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.19366666666666665, ""arousal"": 0.5466666666666666, ""dominance"": 0.37266666666666665}, {""valence"": 0.9144999999999999, ""arousal"": 0.497, ""dominance"": 0.7052499999999999}, {""valence"": 0.04, ""arousal"": 0.827, ""dominance"": 0.545}]"
8,2022-03-01 03:07:21+00:00,"{""valence"": 0.5589749206349206, ""arousal"": 0.4249261904761905, ""dominance"": 0.5215268253968254, ""emotion"": [0.1595238095238095, 0.05634920634920635, 0.05142857142857142, 0.09428571428571429, 0.05285714285714286, 0.02222222222222222, 0.05857142857142857, 0.020634920634920634]}","[{""valence"": 0.35075, ""arousal"": 0.55325, ""dominance"": 0.56025}, {""valence"": 0.25379999999999997, ""arousal"": 0.8094000000000001, ""dominance"": 0.6296}, {""valence"": 0.6968, ""arousal"": 0.48199999999999993, ""dominance"": 0.569}, {""valence"": 0.70375, ""arousal"": 0.39775000000000005, ""dominance"": 0.532125}, {""valence"": 0.78925, ""arousal"": 0.44775, ""dominance"": 0.56025}, {""valence"": 0.301, ""arousal"": 0.373, ""dominance"": 0.2535}, {""valence"": 0.7876, ""arousal"": 0.5187999999999999, ""dominance"": 0.5978}, {""valence"": 0.0975, ""arousal"": 0.6579999999999999, ""dominance"": 0.4485}]"
9,2022-03-02 08:29:13+00:00,"{""valence"": 0.5660382352941176, ""arousal"": 0.4448676470588234, ""dominance"": 0.5499759803921569, ""emotion"": [0.03137254901960784, 0.07941176470588235, 0.050980392156862744, 0.09950980392156863, 0.00980392156862745, 0.043137254901960784, 0.017156862745098037, 0.021568627450980395]}","[{""valence"": 0.21133333333333335, ""arousal"": 0.7370000000000001, ""dominance"": 0.5026666666666667}, {""valence"": 0.31814285714285717, ""arousal"": 0.6678571428571429, ""dominance"": 0.4992857142857143}, {""valence"": 0.6647500000000001, ""arousal"": 0.54125, ""dominance"": 0.5955}, {""valence"": 0.7438571428571429, ""arousal"": 0.4647142857142857, ""dominance"": 0.7331428571428572}, {""valence"": 0.771, ""arousal"": 0.64, ""dominance"": 0.71}, {""valence"": 0.08225, ""arousal"": 0.63, ""dominance"": 0.299}, {""valence"": 0.7989999999999999, ""arousal"": 0.405, ""dominance"": 0.605}, {""valence"": 0.0825, ""arousal"": 0.6445000000000001, ""dominance"": 0.39749999999999996}]"
