Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2014-06-01 14:24:22+00:00,"{""valence"": 0.6259751388888889, ""arousal"": 0.4785590277777777, ""dominance"": 0.5367756944444446, ""emotion"": [0.005555555555555555, 0.06180555555555556, 0.1798611111111111, 0.16666666666666669, 0.0, 0.05625, 0.175, 0.005555555555555555]}","[{""valence"": 0.219, ""arousal"": 0.755, ""dominance"": 0.411}, {""valence"": 0.40399999999999997, ""arousal"": 0.5176666666666667, ""dominance"": 0.49366666666666664}, {""valence"": 0.77525, ""arousal"": 0.5235, ""dominance"": 0.6307500000000001}, {""valence"": 0.8261666666666666, ""arousal"": 0.556, ""dominance"": 0.6851666666666666}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.597, ""arousal"": 0.35150000000000003, ""dominance"": 0.34650000000000003}, {""valence"": 0.8729999999999999, ""arousal"": 0.5575, ""dominance"": 0.6778333333333334}, {""valence"": 0.219, ""arousal"": 0.755, ""dominance"": 0.411}]"
1,2014-06-14 06:51:08+00:00,"{""valence"": 0.6637810279667422, ""arousal"": 0.4867404761904761, ""dominance"": 0.5378001889644746, ""emotion"": [0.01904761904761905, 0.009523809523809525, 0.04860166288737717, 0.14365079365079364, 0.03492063492063492, 0.025396825396825397, 0.09947089947089947, 0.009523809523809525]}","[{""valence"": 0.17550000000000002, ""arousal"": 0.885, ""dominance"": 0.6335}, {""valence"": 0.08, ""arousal"": 0.959, ""dominance"": 0.696}, {""valence"": 0.8382000000000002, ""arousal"": 0.4946, ""dominance"": 0.643}, {""valence"": 0.8246363636363636, ""arousal"": 0.48145454545454547, ""dominance"": 0.6865454545454545}, {""valence"": 0.628, ""arousal"": 0.5307499999999999, ""dominance"": 0.48175}, {""valence"": 0.5055000000000001, ""arousal"": 0.6835, ""dominance"": 0.7104999999999999}, {""valence"": 0.8743333333333334, ""arousal"": 0.4715555555555555, ""dominance"": 0.6295555555555556}, {""valence"": 0.042, ""arousal"": 0.481, ""dominance"": 0.18}]"
2,2014-06-25 22:20:49+00:00,"{""valence"": 0.6508255411255411, ""arousal"": 0.4964637029637029, ""dominance"": 0.5450056693306693, ""emotion"": [0.03241758241758241, 0.041025641025641026, 0.12309357309357309, 0.034981684981684975, 0.08006993006993006, 0.049999999999999996, 0.06212121212121212, 0.0]}","[{""valence"": 0.476, ""arousal"": 0.725, ""dominance"": 0.618}, {""valence"": 0.508, ""arousal"": 0.74, ""dominance"": 0.5565}, {""valence"": 0.8049090909090908, ""arousal"": 0.5147272727272728, ""dominance"": 0.6393636363636364}, {""valence"": 0.8667999999999999, ""arousal"": 0.5254, ""dominance"": 0.6317999999999999}, {""valence"": 0.7272, ""arousal"": 0.6914, ""dominance"": 0.5916999999999999}, {""valence"": 0.20350000000000001, ""arousal"": 0.6797499999999999, ""dominance"": 0.40175000000000005}, {""valence"": 0.8796666666666667, ""arousal"": 0.6111111111111112, ""dominance"": 0.6301111111111111}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}]"
3,2014-07-04 02:03:42+00:00,"{""valence"": 0.5990159863945578, ""arousal"": 0.4742284013605441, ""dominance"": 0.5311775510204081, ""emotion"": [0.07142857142857142, 0.04285714285714286, 0.04353741496598639, 0.17091836734693877, 0.014285714285714287, 0.023809523809523808, 0.060884353741496595, 0.08163265306122448]}","[{""valence"": 0.024333333333333332, ""arousal"": 0.5886666666666667, ""dominance"": 0.26266666666666666}, {""valence"": 0.37, ""arousal"": 0.52425, ""dominance"": 0.37925}, {""valence"": 0.7294999999999998, ""arousal"": 0.3945, ""dominance"": 0.55025}, {""valence"": 0.7672857142857142, ""arousal"": 0.45185714285714285, ""dominance"": 0.6310000000000001}, {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534}, {""valence"": 0.052, ""arousal"": 0.5875, ""dominance"": 0.2295}, {""valence"": 0.8271666666666667, ""arousal"": 0.44916666666666666, ""dominance"": 0.5858333333333333}, {""valence"": 0.08850000000000001, ""arousal"": 0.60975, ""dominance"": 0.264}]"
4,2014-07-06 12:20:59+00:00,"{""valence"": 0.6690998677248676, ""arousal"": 0.479589417989418, ""dominance"": 0.5346232804232804, ""emotion"": [0.02962962962962963, 0.04867724867724868, 0.12314814814814816, 0.0671957671957672, 0.018518518518518517, 0.06666666666666667, 0.04867724867724868, 0.027777777777777776]}","[{""valence"": 0.47, ""arousal"": 0.481, ""dominance"": 0.45699999999999996}, {""valence"": 0.5735, ""arousal"": 0.39725, ""dominance"": 0.522}, {""valence"": 0.725375, ""arousal"": 0.5238750000000001, ""dominance"": 0.6527499999999999}, {""valence"": 0.7727999999999999, ""arousal"": 0.42160000000000003, ""dominance"": 0.6501999999999999}, {""valence"": 0.82, ""arousal"": 0.49, ""dominance"": 0.651}, {""valence"": 0.32399999999999995, ""arousal"": 0.434, ""dominance"": 0.3075}, {""valence"": 0.8959999999999999, ""arousal"": 0.5195000000000001, ""dominance"": 0.762}, {""valence"": 0.2315, ""arousal"": 0.39549999999999996, ""dominance"": 0.2915}]"
5,2014-07-12 16:17:00+00:00,"{""valence"": 0.7053519978106185, ""arousal"": 0.46234551176792565, ""dominance"": 0.555878516694034, ""emotion"": [0.02216748768472906, 0.008620689655172414, 0.08653530377668309, 0.034482758620689655, 0.07298850574712644, 0.04261083743842365, 0.07216748768472905, 0.011494252873563218]}","[{""valence"": 0.14775, ""arousal"": 0.4515, ""dominance"": 0.32925}, {""valence"": 0.531, ""arousal"": 0.346, ""dominance"": 0.423}, {""valence"": 0.7953333333333332, ""arousal"": 0.6115555555555555, ""dominance"": 0.7128888888888889}, {""valence"": 0.9403333333333332, ""arousal"": 0.762, ""dominance"": 0.8623333333333333}, {""valence"": 0.8196666666666669, ""arousal"": 0.638, ""dominance"": 0.7313333333333335}, {""valence"": 0.41500000000000004, ""arousal"": 0.3368333333333333, ""dominance"": 0.3495}, {""valence"": 0.9124285714285715, ""arousal"": 0.6928571428571428, ""dominance"": 0.7992857142857144}, {""valence"": 0.0665, ""arousal"": 0.63, ""dominance"": 0.27849999999999997}]"
6,2014-07-18 20:10:06+00:00,"{""valence"": 0.6180266666666667, ""arousal"": 0.5266533333333333, ""dominance"": 0.5349983333333335, ""emotion"": [0.05333333333333333, 0.07333333333333333, 0.06333333333333332, 0.12, 0.01, 0.05333333333333333, 0.07666666666666666, 0.04333333333333333]}","[{""valence"": 0.29174999999999995, ""arousal"": 0.6425000000000001, ""dominance"": 0.5105}, {""valence"": 0.16133333333333336, ""arousal"": 0.672, ""dominance"": 0.42166666666666663}, {""valence"": 0.8416, ""arousal"": 0.6142, ""dominance"": 0.7176}, {""valence"": 0.809625, ""arousal"": 0.599875, ""dominance"": 0.691875}, {""valence"": 0.844, ""arousal"": 0.608, ""dominance"": 0.827}, {""valence"": 0.066, ""arousal"": 0.5903333333333334, ""dominance"": 0.276}, {""valence"": 0.8627142857142857, ""arousal"": 0.6595714285714286, ""dominance"": 0.7057142857142856}, {""valence"": 0.04866666666666667, ""arousal"": 0.606, ""dominance"": 0.323}]"
7,2014-07-26 03:45:50+00:00,"{""valence"": 0.6491805555555554, ""arousal"": 0.42716732804232804, ""dominance"": 0.5079917328042328, ""emotion"": [0.05423280423280422, 0.027777777777777776, 0.13657407407407407, 0.14914021164021163, 0.09953703703703703, 0.08333333333333333, 0.16435185185185186, 0.03571428571428571]}","[{""valence"": 0.30566666666666664, ""arousal"": 0.5653333333333334, ""dominance"": 0.4403333333333333}, {""valence"": 0.073, ""arousal"": 0.41, ""dominance"": 0.2}, {""valence"": 0.8355714285714286, ""arousal"": 0.5132857142857142, ""dominance"": 0.6624285714285715}, {""valence"": 0.7908000000000002, ""arousal"": 0.5547, ""dominance"": 0.6981999999999999}, {""valence"": 0.822, ""arousal"": 0.54625, ""dominance"": 0.69325}, {""valence"": 0.4425, ""arousal"": 0.385, ""dominance"": 0.40149999999999997}, {""valence"": 0.84175, ""arousal"": 0.522875, ""dominance"": 0.666}, {""valence"": 0.0365, ""arousal"": 0.544, ""dominance"": 0.247}]"
8,2014-07-29 17:13:52+00:00,"{""valence"": 0.5788145833333334, ""arousal"": 0.4881735119047619, ""dominance"": 0.5339462797619048, ""emotion"": [0.03645833333333333, 0.049479166666666664, 0.04114583333333333, 0.09895833333333334, 0.0, 0.03333333333333333, 0.05989583333333333, 0.06882440476190475]}","[{""valence"": 0.09000000000000001, ""arousal"": 0.59, ""dominance"": 0.37166666666666676}, {""valence"": 0.26100000000000007, ""arousal"": 0.618, ""dominance"": 0.463}, {""valence"": 0.7765000000000001, ""arousal"": 0.47125, ""dominance"": 0.5225}, {""valence"": 0.7885, ""arousal"": 0.48050000000000004, ""dominance"": 0.75325}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.0625, ""arousal"": 0.5369999999999999, ""dominance"": 0.461}, {""valence"": 0.8594000000000002, ""arousal"": 0.47059999999999996, ""dominance"": 0.5748}, {""valence"": 0.20600000000000004, ""arousal"": 0.6212000000000001, ""dominance"": 0.35760000000000003}]"
9,2014-08-01 00:35:12+00:00,"{""valence"": 0.625907738095238, ""arousal"": 0.5019625, ""dominance"": 0.5321625, ""emotion"": [0.020833333333333336, 0.013095238095238096, 0.030357142857142853, 0.06011904761904763, 0.005952380952380952, 0.03511904761904762, 0.020833333333333336, 0.038690476190476185]}","[{""valence"": 0.098, ""arousal"": 0.8714999999999999, ""dominance"": 0.387}, {""valence"": 0.2703333333333333, ""arousal"": 0.7583333333333333, ""dominance"": 0.578}, {""valence"": 0.6533999999999999, ""arousal"": 0.5082, ""dominance"": 0.5130000000000001}, {""valence"": 0.7283999999999999, ""arousal"": 0.385, ""dominance"": 0.6514000000000001}, {""valence"": 0.64, ""arousal"": 0.463, ""dominance"": 0.442}, {""valence"": 0.07375, ""arousal"": 0.73475, ""dominance"": 0.4315}, {""valence"": 0.7835000000000001, ""arousal"": 0.47400000000000003, ""dominance"": 0.5785}, {""valence"": 0.2075, ""arousal"": 0.894, ""dominance"": 0.44499999999999995}]"
