Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2022-02-09 03:28:23+00:00,"{""valence"": 0.5324605225184172, ""arousal"": 0.5215485892762208, ""dominance"": 0.5396931476418318, ""emotion"": [0.05261828814460394, 0.0692412850307587, 0.013366750208855471, 0.04049707602339181, 0.032664995822890563, 0.046411483253588515, 0.032163742690058485, 0.01541733120680489]}","[{""valence"": 0.133625, ""arousal"": 0.815, ""dominance"": 0.5148750000000001}, {""valence"": 0.23614285714285715, ""arousal"": 0.7281428571428572, ""dominance"": 0.4927142857142857}, {""valence"": 0.5569999999999999, ""arousal"": 0.38949999999999996, ""dominance"": 0.444}, {""valence"": 0.6324, ""arousal"": 0.48839999999999995, ""dominance"": 0.6226}, {""valence"": 0.33775, ""arousal"": 0.75675, ""dominance"": 0.6335}, {""valence"": 0.13625, ""arousal"": 0.70775, ""dominance"": 0.4515}, {""valence"": 0.7577500000000001, ""arousal"": 0.45200000000000007, ""dominance"": 0.6567500000000001}, {""valence"": 0.23933333333333331, ""arousal"": 0.6593333333333333, ""dominance"": 0.38433333333333336}]"
1,2022-02-10 04:03:57+00:00,"{""valence"": 0.5918021164021166, ""arousal"": 0.43793973063973063, ""dominance"": 0.5258994468494469, ""emotion"": [0.01851851851851852, 0.08888888888888888, 0.12907647907647907, 0.1378066378066378, 0.10288600288600289, 0.06902356902356901, 0.10288600288600289, 0.04444444444444444]}","[{""valence"": 0.307, ""arousal"": 0.66, ""dominance"": 0.5585}, {""valence"": 0.2343333333333333, ""arousal"": 0.8173333333333334, ""dominance"": 0.5206666666666667}, {""valence"": 0.7548571428571428, ""arousal"": 0.35614285714285715, ""dominance"": 0.559}, {""valence"": 0.7417499999999999, ""arousal"": 0.4932499999999999, ""dominance"": 0.61575}, {""valence"": 0.8151999999999999, ""arousal"": 0.38339999999999996, ""dominance"": 0.539}, {""valence"": 0.16099999999999998, ""arousal"": 0.6484, ""dominance"": 0.2862}, {""valence"": 0.8151999999999999, ""arousal"": 0.38339999999999996, ""dominance"": 0.539}, {""valence"": 0.2833333333333333, ""arousal"": 0.61, ""dominance"": 0.34600000000000003}]"
2,2022-02-11 14:39:47+00:00,"{""valence"": 0.5666748196248196, ""arousal"": 0.5052118326118327, ""dominance"": 0.4961049422799423, ""emotion"": [0.08654401154401153, 0.07907647907647908, 0.06664862914862914, 0.07177128427128426, 0.039953102453102456, 0.04942279942279942, 0.060155122655122656, 0.08654401154401153]}","[{""valence"": 0.1361, ""arousal"": 0.6639999999999999, ""dominance"": 0.34290000000000004}, {""valence"": 0.2234, ""arousal"": 0.6939, ""dominance"": 0.44800000000000006}, {""valence"": 0.814, ""arousal"": 0.6664444444444445, ""dominance"": 0.6205555555555554}, {""valence"": 0.7927500000000001, ""arousal"": 0.5992500000000001, ""dominance"": 0.609}, {""valence"": 0.8506, ""arousal"": 0.6918, ""dominance"": 0.5828}, {""valence"": 0.2896666666666667, ""arousal"": 0.5708333333333333, ""dominance"": 0.3718333333333333}, {""valence"": 0.8545, ""arousal"": 0.65175, ""dominance"": 0.61775}, {""valence"": 0.14072727272727273, ""arousal"": 0.6648181818181818, ""dominance"": 0.3430909090909091}]"
3,2022-02-13 19:23:58+00:00,"{""valence"": 0.6062500000000001, ""arousal"": 0.46622268518518517, ""dominance"": 0.543824074074074, ""emotion"": [0.05277777777777778, 0.13240740740740742, 0.10277777777777779, 0.07129629629629629, 0.0, 0.05, 0.037962962962962955, 0.04722222222222222]}","[{""valence"": 0.09175, ""arousal"": 0.82775, ""dominance"": 0.4475}, {""valence"": 0.18366666666666664, ""arousal"": 0.7318333333333333, ""dominance"": 0.44366666666666665}, {""valence"": 0.6104, ""arousal"": 0.45919999999999994, ""dominance"": 0.5618000000000001}, {""valence"": 0.7538333333333332, ""arousal"": 0.6478333333333333, ""dominance"": 0.7176666666666667}, {""valence"": 0, ""arousal"": 0, ""dominance"": 0}, {""valence"": 0.10000000000000002, ""arousal"": 0.7120000000000001, ""dominance"": 0.27033333333333337}, {""valence"": 0.8593333333333334, ""arousal"": 0.695, ""dominance"": 0.7346666666666666}, {""valence"": 0.102, ""arousal"": 0.7883333333333334, ""dominance"": 0.4013333333333333}]"
4,2022-02-14 08:13:03+00:00,"{""valence"": 0.6140087868480725, ""arousal"": 0.4716515306122449, ""dominance"": 0.5386507936507937, ""emotion"": [0.08361678004535146, 0.07142857142857142, 0.1719954648526077, 0.08826530612244897, 0.0704081632653061, 0.12698412698412698, 0.0704081632653061, 0.041666666666666664]}","[{""valence"": 0.2392, ""arousal"": 0.7814, ""dominance"": 0.5522}, {""valence"": 0.1582, ""arousal"": 0.8382, ""dominance"": 0.5746}, {""valence"": 0.795125, ""arousal"": 0.4428749999999999, ""dominance"": 0.5892499999999999}, {""valence"": 0.8565999999999999, ""arousal"": 0.38659999999999994, ""dominance"": 0.5658}, {""valence"": 0.9144999999999999, ""arousal"": 0.42799999999999994, ""dominance"": 0.6072500000000001}, {""valence"": 0.1335, ""arousal"": 0.74425, ""dominance"": 0.43825}, {""valence"": 0.9144999999999999, ""arousal"": 0.42799999999999994, ""dominance"": 0.6072500000000001}, {""valence"": 0.067, ""arousal"": 0.7855000000000001, ""dominance"": 0.384}]"
5,2022-02-15 20:31:20+00:00,"{""valence"": 0.4990428571428571, ""arousal"": 0.532486507936508, ""dominance"": 0.5074789682539682, ""emotion"": [0.14285714285714285, 0.2388888888888889, 0.1246031746031746, 0.1761904761904762, 0.10238095238095238, 0.17222222222222222, 0.0857142857142857, 0.11666666666666667]}","[{""valence"": 0.28040000000000004, ""arousal"": 0.6924, ""dominance"": 0.6106}, {""valence"": 0.13542857142857143, ""arousal"": 0.7695714285714287, ""dominance"": 0.4714285714285714}, {""valence"": 0.6242, ""arousal"": 0.5648000000000001, ""dominance"": 0.576}, {""valence"": 0.8064, ""arousal"": 0.46159999999999995, ""dominance"": 0.6624}, {""valence"": 0.7559999999999999, ""arousal"": 0.63475, ""dominance"": 0.603}, {""valence"": 0.138, ""arousal"": 0.678, ""dominance"": 0.36424999999999996}, {""valence"": 0.7466666666666666, ""arousal"": 0.5613333333333334, ""dominance"": 0.6243333333333333}, {""valence"": 0.049999999999999996, ""arousal"": 0.7266666666666667, ""dominance"": 0.454}]"
6,2022-02-16 16:56:51+00:00,"{""valence"": 0.5747011706349207, ""arousal"": 0.4834469444444444, ""dominance"": 0.5518112301587301, ""emotion"": [0.08805555555555555, 0.034722222222222224, 0.04611111111111112, 0.09956349206349205, 0.015555555555555555, 0.01111111111111111, 0.015555555555555555, 0.06555555555555556]}","[{""valence"": 0.3742, ""arousal"": 0.736, ""dominance"": 0.6050000000000001}, {""valence"": 0.2294, ""arousal"": 0.7100000000000002, ""dominance"": 0.5706}, {""valence"": 0.6746666666666666, ""arousal"": 0.5466666666666666, ""dominance"": 0.6565}, {""valence"": 0.5735555555555555, ""arousal"": 0.45655555555555555, ""dominance"": 0.6386666666666668}, {""valence"": 0.677, ""arousal"": 0.629, ""dominance"": 0.8045}, {""valence"": 0.099, ""arousal"": 0.706, ""dominance"": 0.27949999999999997}, {""valence"": 0.677, ""arousal"": 0.629, ""dominance"": 0.8045}, {""valence"": 0.3666666666666667, ""arousal"": 0.707, ""dominance"": 0.5}]"
7,2022-02-19 03:56:38+00:00,"{""valence"": 0.5609501488095239, ""arousal"": 0.5580104166666667, ""dominance"": 0.5571125, ""emotion"": [0.10104166666666667, 0.17604166666666665, 0.16220238095238096, 0.13660714285714287, 0.08392857142857144, 0.10625, 0.13660714285714287, 0.090625]}","[{""valence"": 0.12279999999999999, ""arousal"": 0.7932, ""dominance"": 0.5105999999999999}, {""valence"": 0.23185714285714284, ""arousal"": 0.7998571428571427, ""dominance"": 0.712}, {""valence"": 0.8092857142857143, ""arousal"": 0.5145714285714286, ""dominance"": 0.6288571428571429}, {""valence"": 0.8091666666666667, ""arousal"": 0.5571666666666667, ""dominance"": 0.6896666666666667}, {""valence"": 0.8286666666666666, ""arousal"": 0.6716666666666667, ""dominance"": 0.7136666666666667}, {""valence"": 0.07933333333333333, ""arousal"": 0.8330000000000001, ""dominance"": 0.6093333333333334}, {""valence"": 0.8723333333333332, ""arousal"": 0.4896666666666667, ""dominance"": 0.6271666666666667}, {""valence"": 0.16649999999999998, ""arousal"": 0.69325, ""dominance"": 0.38075000000000003}]"
8,2022-02-20 16:34:24+00:00,"{""valence"": 0.5636308673469388, ""arousal"": 0.47608903061224483, ""dominance"": 0.5338364795918368, ""emotion"": [0.07678571428571428, 0.11913265306122447, 0.09668367346938776, 0.10739795918367347, 0.04285714285714286, 0.09234693877551019, 0.05306122448979591, 0.06785714285714285]}","[{""valence"": 0.11425, ""arousal"": 0.6785, ""dominance"": 0.38675}, {""valence"": 0.18214285714285713, ""arousal"": 0.6868571428571428, ""dominance"": 0.44842857142857145}, {""valence"": 0.7444285714285714, ""arousal"": 0.46585714285714286, ""dominance"": 0.5962857142857142}, {""valence"": 0.817625, ""arousal"": 0.4595, ""dominance"": 0.7215}, {""valence"": 0.521, ""arousal"": 0.4275, ""dominance"": 0.4575}, {""valence"": 0.1904, ""arousal"": 0.48919999999999997, ""dominance"": 0.26380000000000003}, {""valence"": 0.8356666666666667, ""arousal"": 0.38766666666666666, ""dominance"": 0.7313333333333333}, {""valence"": 0.12166666666666666, ""arousal"": 0.596, ""dominance"": 0.3073333333333333}]"
9,2022-02-21 05:38:05+00:00,"{""valence"": 0.5856041666666668, ""arousal"": 0.5022367063492064, ""dominance"": 0.5436013888888889, ""emotion"": [0.047619047619047616, 0.07936507936507937, 0.12400793650793651, 0.13095238095238096, 0.03571428571428571, 0.03571428571428571, 0.07539682539682538, 0.019841269841269844]}","[{""valence"": 0.1115, ""arousal"": 0.7495, ""dominance"": 0.46975}, {""valence"": 0.2826, ""arousal"": 0.6522, ""dominance"": 0.5810000000000001}, {""valence"": 0.768625, ""arousal"": 0.515, ""dominance"": 0.6833750000000001}, {""valence"": 0.7077142857142856, ""arousal"": 0.4728571428571428, ""dominance"": 0.7060000000000001}, {""valence"": 0.66, ""arousal"": 0.5065000000000001, ""dominance"": 0.436}, {""valence"": 0.04833333333333333, ""arousal"": 0.7476666666666666, ""dominance"": 0.4863333333333333}, {""valence"": 0.8943999999999999, ""arousal"": 0.5976000000000001, ""dominance"": 0.7654000000000001}, {""valence"": 0.2705, ""arousal"": 0.651, ""dominance"": 0.495}]"
