Segment_ID,DateTime,Segment_VAD_Emotion,Emotion_VAD
0,2020-11-15 21:52:45+00:00,"{""valence"": 0.5756167328042329, ""arousal"": 0.5251972222222222, ""dominance"": 0.5584270502645503, ""emotion"": [0.15383597883597885, 0.14259259259259258, 0.042195767195767196, 0.056216931216931214, 0.028306878306878305, 0.11349206349206348, 0.017195767195767195, 0.02962962962962963]}","[{""valence"": 0.22049999999999997, ""arousal"": 0.750625, ""dominance"": 0.50675}, {""valence"": 0.3077142857142857, ""arousal"": 0.7918571428571429, ""dominance"": 0.6328571428571428}, {""valence"": 0.67075, ""arousal"": 0.61275, ""dominance"": 0.6519999999999999}, {""valence"": 0.618, ""arousal"": 0.5459999999999999, ""dominance"": 0.6785}, {""valence"": 0.5339999999999999, ""arousal"": 0.5866666666666666, ""dominance"": 0.5386666666666667}, {""valence"": 0.23459999999999998, ""arousal"": 0.7732, ""dominance"": 0.4944}, {""valence"": 0.76, ""arousal"": 0.434, ""dominance"": 0.5915}, {""valence"": 0.11599999999999999, ""arousal"": 0.833, ""dominance"": 0.425}]"
1,2020-11-16 13:27:55+00:00,"{""valence"": 0.5375805059523809, ""arousal"": 0.530503869047619, ""dominance"": 0.5477224702380953, ""emotion"": [0.1538690476190476, 0.04538690476190475, 0.015625, 0.040625, 0.061607142857142846, 0.054315476190476185, 0.0125, 0.10119047619047618]}","[{""valence"": 0.1688888888888889, ""arousal"": 0.7342222222222222, ""dominance"": 0.46088888888888885}, {""valence"": 0.25, ""arousal"": 0.7375, ""dominance"": 0.6355}, {""valence"": 0.604, ""arousal"": 0.288, ""dominance"": 0.609}, {""valence"": 0.6543333333333333, ""arousal"": 0.49499999999999994, ""dominance"": 0.7303333333333333}, {""valence"": 0.5206666666666667, ""arousal"": 0.7228333333333333, ""dominance"": 0.6646666666666667}, {""valence"": 0.20340000000000003, ""arousal"": 0.5894, ""dominance"": 0.42799999999999994}, {""valence"": 0.721, ""arousal"": 0.51, ""dominance"": 0.698}, {""valence"": 0.2806, ""arousal"": 0.631, ""dominance"": 0.40259999999999996}]"
2,2020-11-16 14:49:06+00:00,"{""valence"": 0.528965806878307, ""arousal"": 0.4651492063492064, ""dominance"": 0.5429981481481482, ""emotion"": [0.03263888888888889, 0.04652777777777778, 0.03518518518518519, 0.09107142857142857, 0.013888888888888888, 0.10208333333333335, 0.009259259259259259, 0.010416666666666666]}","[{""valence"": 0.08766666666666667, ""arousal"": 0.6956666666666665, ""dominance"": 0.39833333333333326}, {""valence"": 0.14550000000000002, ""arousal"": 0.5995, ""dominance"": 0.452}, {""valence"": 0.7120000000000001, ""arousal"": 0.5886666666666667, ""dominance"": 0.6133333333333334}, {""valence"": 0.6708749999999999, ""arousal"": 0.5548749999999999, ""dominance"": 0.747125}, {""valence"": 0.64, ""arousal"": 0.716, ""dominance"": 0.898}, {""valence"": 0.16575, ""arousal"": 0.446125, ""dominance"": 0.34912499999999996}, {""valence"": 0.938, ""arousal"": 0.735, ""dominance"": 0.931}, {""valence"": 0.159, ""arousal"": 0.594, ""dominance"": 0.245}]"
3,2020-11-18 00:07:44+00:00,"{""valence"": 0.6049736267436269, ""arousal"": 0.47986868686868694, ""dominance"": 0.592037291967292, ""emotion"": [0.02619047619047619, 0.009523809523809523, 0.05706589706589706, 0.1767243867243867, 0.11272727272727273, 0.04558441558441559, 0.08870610870610869, 0.006060606060606061]}","[{""valence"": 0.086, ""arousal"": 0.817, ""dominance"": 0.49649999999999994}, {""valence"": 0.061, ""arousal"": 0.946, ""dominance"": 0.586}, {""valence"": 0.7245, ""arousal"": 0.6336666666666667, ""dominance"": 0.6921666666666666}, {""valence"": 0.6608461538461537, ""arousal"": 0.494, ""dominance"": 0.6767692307692308}, {""valence"": 0.67, ""arousal"": 0.6748, ""dominance"": 0.7956000000000001}, {""valence"": 0.24500000000000002, ""arousal"": 0.37175, ""dominance"": 0.26899999999999996}, {""valence"": 0.820857142857143, ""arousal"": 0.5624285714285714, ""dominance"": 0.7105714285714286}, {""valence"": 0.583, ""arousal"": 0.433, ""dominance"": 0.465}]"
4,2020-11-18 13:31:43+00:00,"{""valence"": 0.5614833049886621, ""arousal"": 0.45525184240362815, ""dominance"": 0.5623698696145124, ""emotion"": [0.05255102040816327, 0.030612244897959183, 0.03877551020408164, 0.16190476190476194, 0.01020408163265306, 0.02040816326530612, 0.014285714285714287, 0.03469387755102041]}","[{""valence"": 0.10175000000000001, ""arousal"": 0.7855, ""dominance"": 0.45425}, {""valence"": 0.4126666666666667, ""arousal"": 0.6696666666666666, ""dominance"": 0.6633333333333332}, {""valence"": 0.5456666666666666, ""arousal"": 0.39633333333333337, ""dominance"": 0.4666666666666666}, {""valence"": 0.553875, ""arousal"": 0.44899999999999995, ""dominance"": 0.5985}, {""valence"": 0.085, ""arousal"": 0.831, ""dominance"": 0.389}, {""valence"": 0.07300000000000001, ""arousal"": 0.84, ""dominance"": 0.4965}, {""valence"": 0.514, ""arousal"": 0.588, ""dominance"": 0.592}, {""valence"": 0.09866666666666668, ""arousal"": 0.818, ""dominance"": 0.47}]"
5,2020-11-18 23:10:23+00:00,"{""valence"": 0.63267, ""arousal"": 0.4689661904761905, ""dominance"": 0.5768419841269842, ""emotion"": [0.1123015873015873, 0.024444444444444446, 0.25222222222222224, 0.24341269841269841, 0.15555555555555556, 0.06666666666666667, 0.17444444444444446, 0.01111111111111111]}","[{""valence"": 0.3368, ""arousal"": 0.6064, ""dominance"": 0.557}, {""valence"": 0.698, ""arousal"": 0.6074999999999999, ""dominance"": 0.6579999999999999}, {""valence"": 0.73375, ""arousal"": 0.546125, ""dominance"": 0.6498750000000001}, {""valence"": 0.7232500000000001, ""arousal"": 0.5588333333333333, ""dominance"": 0.7358333333333335}, {""valence"": 0.66775, ""arousal"": 0.5045000000000001, ""dominance"": 0.621}, {""valence"": 0.582, ""arousal"": 0.5, ""dominance"": 0.649}, {""valence"": 0.7708333333333331, ""arousal"": 0.6161666666666666, ""dominance"": 0.719}, {""valence"": 0.38, ""arousal"": 0.51, ""dominance"": 0.591}]"
6,2020-11-19 13:46:18+00:00,"{""valence"": 0.5711627217553688, ""arousal"": 0.46793779178337996, ""dominance"": 0.5499791316526611, ""emotion"": [0.125046685340803, 0.07089169000933707, 0.08739495798319329, 0.13127917833800187, 0.09173669467787116, 0.1362511671335201, 0.06722689075630252, 0.02964519140989729]}","[{""valence"": 0.2192222222222222, ""arousal"": 0.7305555555555556, ""dominance"": 0.5223333333333333}, {""valence"": 0.25275, ""arousal"": 0.684375, ""dominance"": 0.49874999999999997}, {""valence"": 0.68375, ""arousal"": 0.5710000000000001, ""dominance"": 0.69625}, {""valence"": 0.7674285714285715, ""arousal"": 0.4797142857142857, ""dominance"": 0.7154285714285713}, {""valence"": 0.26375, ""arousal"": 0.76225, ""dominance"": 0.50525}, {""valence"": 0.2344, ""arousal"": 0.6384, ""dominance"": 0.42879999999999996}, {""valence"": 0.748, ""arousal"": 0.5575, ""dominance"": 0.702}, {""valence"": 0.11666666666666665, ""arousal"": 0.8386666666666667, ""dominance"": 0.49533333333333335}]"
7,2020-11-20 12:56:49+00:00,"{""valence"": 0.554005753968254, ""arousal"": 0.4983746031746031, ""dominance"": 0.5633162698412699, ""emotion"": [0.04702380952380952, 0.03273809523809524, 0.008928571428571428, 0.08174603174603175, 0.07579365079365079, 0.1238095238095238, 0.03571428571428571, 0.014285714285714287]}","[{""valence"": 0.12266666666666666, ""arousal"": 0.6906666666666667, ""dominance"": 0.37233333333333335}, {""valence"": 0.38549999999999995, ""arousal"": 0.459, ""dominance"": 0.489}, {""valence"": 0.344, ""arousal"": 0.643, ""dominance"": 0.537}, {""valence"": 0.645, ""arousal"": 0.448375, ""dominance"": 0.750625}, {""valence"": 0.5165000000000001, ""arousal"": 0.7110000000000001, ""dominance"": 0.7492500000000001}, {""valence"": 0.26366666666666666, ""arousal"": 0.4233333333333333, ""dominance"": 0.2585}, {""valence"": 1.0, ""arousal"": 0.519, ""dominance"": 0.673}, {""valence"": 0.146, ""arousal"": 0.696, ""dominance"": 0.303}]"
8,2020-11-21 13:13:32+00:00,"{""valence"": 0.6018323015873014, ""arousal"": 0.48191425925925924, ""dominance"": 0.5825860582010581, ""emotion"": [0.06470899470899472, 0.06082010582010581, 0.06666666666666667, 0.07230158730158731, 0.06018518518518518, 0.023597883597883597, 0.02666666666666667, 0.031190476190476192]}","[{""valence"": 0.2282857142857143, ""arousal"": 0.7482857142857142, ""dominance"": 0.5414285714285714}, {""valence"": 0.3376666666666666, ""arousal"": 0.6778333333333334, ""dominance"": 0.5403333333333333}, {""valence"": 0.716, ""arousal"": 0.38180000000000003, ""dominance"": 0.5566}, {""valence"": 0.6815714285714286, ""arousal"": 0.4927142857142857, ""dominance"": 0.733}, {""valence"": 0.5543333333333332, ""arousal"": 0.6465, ""dominance"": 0.665}, {""valence"": 0.12733333333333333, ""arousal"": 0.6789999999999999, ""dominance"": 0.463}, {""valence"": 0.8959999999999999, ""arousal"": 0.429, ""dominance"": 0.6255}, {""valence"": 0.22775, ""arousal"": 0.62975, ""dominance"": 0.49725}]"
9,2020-11-22 01:18:38+00:00,"{""valence"": 0.5790450396825397, ""arousal"": 0.4430426587301587, ""dominance"": 0.5463579365079365, ""emotion"": [0.07817460317460319, 0.07817460317460316, 0.09662698412698413, 0.1505952380952381, 0.023809523809523808, 0.061309523809523814, 0.03809523809523809, 0.045436507936507935]}","[{""valence"": 0.2991666666666667, ""arousal"": 0.6773333333333333, ""dominance"": 0.5021666666666667}, {""valence"": 0.33714285714285713, ""arousal"": 0.6322857142857143, ""dominance"": 0.5192857142857142}, {""valence"": 0.5672857142857143, ""arousal"": 0.5037142857142857, ""dominance"": 0.6032857142857143}, {""valence"": 0.6903636363636364, ""arousal"": 0.4879090909090909, ""dominance"": 0.6859090909090908}, {""valence"": 0.582, ""arousal"": 0.5, ""dominance"": 0.649}, {""valence"": 0.34475, ""arousal"": 0.544, ""dominance"": 0.4325}, {""valence"": 0.7075, ""arousal"": 0.473, ""dominance"": 0.5695}, {""valence"": 0.1835, ""arousal"": 0.69875, ""dominance"": 0.38425}]"
